SUID,edge,from,to,av_corr,interaction,name,phydist,from_genus,from_col,to_genus,to_col,from_phyla,to_phyla,from_phyla_col,to_phyla_col
1709,13to42,EU800571.1.1447,JF118092.1.1357,0.717328764,co,EU800571.1.1447 (co) JF118092.1.1357,0.99184,CaFonsibacter,grey,Chitinophagaceae,grey,Proteobacteria,Bacteroidetes,paleturquoise1,grey
1707,13to17,EU800571.1.1447,FJ976563.1.1391,0.717328764,co,EU800571.1.1447 (co) FJ976563.1.1391,0.9188,CaFonsibacter,grey,Acinetobacter,paleturquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1713,13to82,EU800571.1.1447,FN421585.1.1365,0.717328764,co,EU800571.1.1447 (co) FN421585.1.1365,0.98948,CaFonsibacter,grey,Sphingomonas,paleturquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1714,13to100,EU800571.1.1447,GQ388901.1.1482,0.717328764,co,EU800571.1.1447 (co) GQ388901.1.1482,0.92052,CaFonsibacter,grey,Sphingomonadaceae,paleturquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1746,7to13,FQ658557.1.1361,EU800571.1.1447,0.717328764,co,FQ658557.1.1361 (co) EU800571.1.1447,0.02138,Chitinophagaceae,grey,CaFonsibacter,turquoise1,Bacteroidetes,Proteobacteria,grey,paleturquoise1
1906,39to95,EU801647.1.1478,EU803732.1.1421,0.578943187,co,EU801647.1.1478 (co) EU803732.1.1421,0.02378,Flavobacterium,grey,CaFonsibacter,turquoise1,Bacteroidetes,Proteobacteria,grey,paleturquoise1
1904,39to54,EU801647.1.1478,EU800360.1.1446,0.603566608,co,EU801647.1.1478 (co) EU800360.1.1446,0.02141,Flavobacterium,grey,CaFonsibacter,turquoise1,Bacteroidetes,Proteobacteria,grey,paleturquoise1
1785,18to26,JN869030.1.1506,JN868973.1.1510,NA,co,JN869030.1.1506 (co) JN868973.1.1510,NA,Nanopelagicus,NA,Nanopelagicus,NA,Actinobacteria,Actinobacteria,NA,NA
1786,18to49,JN869030.1.1506,FN668262.1.1467,NA,co,JN869030.1.1506 (co) FN668262.1.1467,NA,Nanopelagicus,NA,Nanopelagicus,NA,Actinobacteria,Actinobacteria,NA,NA
1787,18to83,JN869030.1.1506,FN668268.1.1474,NA,co,JN869030.1.1506 (co) FN668268.1.1474,NA,Nanopelagicus,NA,Nanopelagicus,NA,Actinobacteria,Actinobacteria,NA,NA
1791,18to59,JN869030.1.1506,HM856571.1.1445,NA,co,JN869030.1.1506 (co) HM856571.1.1445,NA,Nanopelagicus,NA,Nanopelagicus,NA,Actinobacteria,Actinobacteria,NA,NA
1805,26to59,JN868973.1.1510,HM856571.1.1445,NA,co,JN868973.1.1510 (co) HM856571.1.1445,NA,Nanopelagicus,NA,Nanopelagicus,NA,Actinobacteria,Actinobacteria,NA,NA
1807,26to49,JN868973.1.1510,FN668262.1.1467,NA,co,JN868973.1.1510 (co) FN668262.1.1467,NA,Nanopelagicus,NA,Nanopelagicus,NA,Actinobacteria,Actinobacteria,NA,NA
1812,26to83,JN868973.1.1510,FN668268.1.1474,NA,co,JN868973.1.1510 (co) FN668268.1.1474,NA,Nanopelagicus,NA,Nanopelagicus,NA,Actinobacteria,Actinobacteria,NA,NA
1816,49to59,FN668262.1.1467,HM856571.1.1445,NA,co,FN668262.1.1467 (co) HM856571.1.1445,NA,Nanopelagicus,NA,Nanopelagicus,NA,Actinobacteria,Actinobacteria,NA,NA
1819,49to83,FN668262.1.1467,FN668268.1.1474,NA,co,FN668262.1.1467 (co) FN668268.1.1474,NA,Nanopelagicus,NA,Nanopelagicus,NA,Actinobacteria,Actinobacteria,NA,NA
1834,59to83,HM856571.1.1445,FN668268.1.1474,NA,co,HM856571.1.1445 (co) FN668268.1.1474,NA,Nanopelagicus,NA,Nanopelagicus,NA,Actinobacteria,Actinobacteria,NA,NA
1842,28to49,FN668259.1.1474,FN668262.1.1467,NA,co,FN668259.1.1474 (co) FN668262.1.1467,NA,Nanopelagicus,NA,Nanopelagicus,NA,Actinobacteria,Actinobacteria,NA,NA
1788,18to39,JN869030.1.1506,EU801647.1.1478,NA,co,JN869030.1.1506 (co) EU801647.1.1478,NA,Nanopelagicus,NA,Flavobacterium,NA,Actinobacteria,Bacteroidetes,NA,NA
1806,26to39,JN868973.1.1510,EU801647.1.1478,NA,co,JN868973.1.1510 (co) EU801647.1.1478,NA,Nanopelagicus,NA,Flavobacterium,NA,Actinobacteria,Bacteroidetes,NA,NA
1903,39to49,EU801647.1.1478,FN668262.1.1467,NA,co,EU801647.1.1478 (co) FN668262.1.1467,NA,Flavobacterium,NA,Nanopelagicus,NA,Bacteroidetes,Actinobacteria,NA,NA
1905,39to59,EU801647.1.1478,HM856571.1.1445,NA,co,EU801647.1.1478 (co) HM856571.1.1445,NA,Flavobacterium,NA,Nanopelagicus,NA,Bacteroidetes,Actinobacteria,NA,NA
1749,7to42,FQ658557.1.1361,JF118092.1.1357,NA,co,FQ658557.1.1361 (co) JF118092.1.1357,NA,Chitinophagaceae,NA,Chitinophagaceae,NA,Bacteroidetes,Bacteroidetes,NA,NA
1745,7to45,FQ658557.1.1361,AEMH01007120.1017.2392,NA,co,FQ658557.1.1361 (co) AEMH01007120.1017.2392,NA,Chitinophagaceae,NA,Streptophyta,NA,Bacteroidetes,Cyanobacteria-chloroplast,NA,NA
1803,42to45,JF118092.1.1357,AEMH01007120.1017.2392,NA,co,JF118092.1.1357 (co) AEMH01007120.1017.2392,NA,Chitinophagaceae,NA,Streptophyta,NA,Bacteroidetes,Cyanobacteria-chloroplast,NA,NA
