SUID,edge,from,to,av_corr,interaction,name,phydist,from_genus,from_col,to_genus,to_col,from_phyla,to_phyla,from_phyla_col,to_phyla_col
1842,28to49,FN668259.1.1474,FN668262.1.1467,0.62892429,co,FN668259.1.1474 (co) FN668262.1.1467,0.99184,Nanopelagicus,plum1,Nanopelagicus,plum1,Actinobacteria,Actinobacteria,purple3,purple3
1807,26to49,JN868973.1.1510,FN668262.1.1467,0.761126354,co,JN868973.1.1510 (co) FN668262.1.1467,0.9188,Nanopelagicus,plum1,Nanopelagicus,plum1,Actinobacteria,Actinobacteria,purple3,purple3
1786,18to49,JN869030.1.1506,FN668262.1.1467,0.571731542,co,JN869030.1.1506 (co) FN668262.1.1467,0.98948,Nanopelagicus,plum1,Nanopelagicus,plum1,Actinobacteria,Actinobacteria,purple3,purple3
1816,49to59,FN668262.1.1467,HM856571.1.1445,0.773164184,co,FN668262.1.1467 (co) HM856571.1.1445,0.02138,Nanopelagicus,plum1,Nanopelagicus,plum1,Actinobacteria,Actinobacteria,purple3,purple3
1690,3to83,EU801039.1.1483,FN668268.1.1474,0.588760944,co,EU801039.1.1483 (co) FN668268.1.1474,0.02378,Planktophila,magenta1,Nanopelagicus,plum1,Actinobacteria,Actinobacteria,purple3,purple3
1791,18to59,JN869030.1.1506,HM856571.1.1445,0.781033825,co,JN869030.1.1506 (co) HM856571.1.1445,0.02141,Nanopelagicus,plum1,Nanopelagicus,plum1,Actinobacteria,Actinobacteria,purple3,purple3
1812,26to83,JN868973.1.1510,FN668268.1.1474,0.59411539,co,JN868973.1.1510 (co) FN668268.1.1474,1.004,Nanopelagicus,plum1,Nanopelagicus,plum1,Actinobacteria,Actinobacteria,purple3,purple3
1785,18to26,JN869030.1.1506,JN868973.1.1510,0.630658489,co,JN869030.1.1506 (co) JN868973.1.1510,0.5204,Nanopelagicus,plum1,Nanopelagicus,plum1,Actinobacteria,Actinobacteria,purple3,purple3
1834,59to83,HM856571.1.1445,FN668268.1.1474,0.640232353,co,HM856571.1.1445 (co) FN668268.1.1474,0.5204,Nanopelagicus,plum1,Nanopelagicus,plum1,Actinobacteria,Actinobacteria,purple3,purple3
1787,18to83,JN869030.1.1506,FN668268.1.1474,0.475338608,co,JN869030.1.1506 (co) FN668268.1.1474,0.02142,Nanopelagicus,plum1,Nanopelagicus,plum1,Actinobacteria,Actinobacteria,purple3,purple3
1805,26to59,JN868973.1.1510,HM856571.1.1445,0.678670995,co,JN868973.1.1510 (co) HM856571.1.1445,0.52265,Nanopelagicus,plum1,Nanopelagicus,plum1,Actinobacteria,Actinobacteria,purple3,purple3
1819,49to83,FN668262.1.1467,FN668268.1.1474,0.640697802,co,FN668262.1.1467 (co) FN668268.1.1474,0.00686,Nanopelagicus,plum1,Nanopelagicus,plum1,Actinobacteria,Actinobacteria,purple3,purple3
1905,39to59,EU801647.1.1478,HM856571.1.1445,0.642803646,co,EU801647.1.1478 (co) HM856571.1.1445,0.98944,Flavobacterium,grey,Nanopelagicus,plum1,Bacteroidetes,Actinobacteria,grey,purple3
1903,39to49,EU801647.1.1478,FN668262.1.1467,0.594725188,co,EU801647.1.1478 (co) FN668262.1.1467,0.00922,Flavobacterium,grey,Nanopelagicus,plum1,Bacteroidetes,Actinobacteria,grey,purple3
