#OTU ID	run4.4	run4.195	run4.66	run4.192	run4.3	S23a	S1a	run4.205	run4.10	run4.106	run4.12	run4.60	run4.111	run4.31	run4.169	run4.103	run4.199	run4.38	run4.97	run4.23	run4.80	run4.82	run4.26	run4.14	run4.118	run4.180	run4.179	run4.186	run4.189	run4.27	run4.77	run4.22	run4.170	run4.105	run4.101	run4.69	run4.102	run4.7	run4.72	run4.196	run4.67	run4.11	run4.161	run4.70	run4.183	run4.75	run4.8	run4.163	run4.47	run4.162	run4.16	run4.53	run4.83	run4.2	run4.21	run4.79	run4.112	run4.173	run4.63	run4.100	run4.168	run4.194	run4.55	run4.191	run4.121	run4.104	run4.13	run4.165	run4.177	run4.120	run4.110	run4.99	run4.59	run4.33	run4.54	run4.95	run4.124	run4.109	run4.81	run4.125	run4.37	run4.49	run4.17	run4.116	run4.56	run4.88	run4.52	run4.73	run4.84	run4.96	run4.89	run4.115	run4.113	run4.71	run4.117	run4.35	run4.181	run4.90	run4.74	run4.94	run4.152	run4.50	run4.41	run4.64	run4.57	run4.86	run4.147	run4.107	run4.153	run4.62	run4.203	run4.159	run4.51	run4.6	run4.172	run4.87	run4.93	run4.45	run4.76	run4.188	run4.156	run4.85	run4.92	run4.25	run4.9	run4.98	run4.119	run4.15	run4.43	run4.40	run4.185	run4.176	run4.58	run4.128	run4.1	run4.114	run4.65	run4.164	run4.171	run4.91	run4.5	run4.136	run4.20	run4.36	run4.108	run4.32	run4.68	run4.166	run4.132	run4.133	run4.193	run4.146	run4.123	run4.150	run4.122	run4.144	run4.141	run4.140	run4.139	run4.78	run4.145	run4.44	run4.167	run4.178	run4.151	run4.142	run4.197	run4.48	run4.157	run4.130	run4.155	run4.200	run4.134	run4.148	run4.135	run4.129	run4.160	run4.30	run4.46	run4.154	run4.39	run4.149	run4.174	run4.24	run4.158	run4.29	run4.28	run4.143	run4.138	run4.184	run4.182	run4.18	S13a	S8a	S2a	S7a	S5a	S4a	S15a	S20a	S48a	run4.42	run4.187	run4.190	run4.127	S16a	S51a	S11a	S9a	S24a	S25a	S22a	S50a	run4.204	run4.126	run4.131	S45a	S6a	S26a	S10a	S19a	S3a	S27a	S18a	S49a	S46a	S21a	S47a	S14a	S17a	run4.34	run4.202
AB930744.1.1489	1	0	1	0	8	0	0	0	1	5	3	1	0	0	0	0	1	0	0	0	8	6	4	1	4	2	1	0	0	1	0	0	0	2	3	1	3	1	5	0	0	5	0	6	1	1	1	0	0	2	1	1	2	7	8	5	2	0	0	3	0	1	0	0	0	0	2	1	0	0	0	2	1	7	4	0	1	3	2	0	0	3	6	4	2	6	3	1	1	1	1	3	2	6	5	5	3	1	2	4	0	1	1	1	6	1	0	1	0	1	0	1	2	6	1	1	6	8	0	0	1	0	1	1	1	0	0	3	1	5	1	0	0	0	0	2	3	3	1	5	0	0	0	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FQ658994.1.1350	0	0	1	0	0	25	99	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	6	1	0	1	0	0	1	1	0	1	1	0	0	3	0	0	0	0	0	6	0	21	0	0	1	0	1	3	1	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	63	58	104	98	42	7	58	25	29	0	0	0	0	32	28	75	8	54	45	49	11	0	0	1	38	90	71	75	46	111	51	28	33	48	23	27	27	38	1	0
HQ111163.1.1491	0	0	0	0	5	0	0	0	0	0	0	1	8	0	0	2	0	4	1	0	3	12	1	0	1	0	0	0	0	1	2	0	0	8	2	1	1	0	2	0	1	2	0	1	6	2	1	0	1	0	0	0	0	0	5	1	3	0	0	1	0	0	4	0	0	0	0	0	0	0	0	4	0	5	0	1	0	3	0	0	0	0	1	0	2	3	0	5	1	20	1	2	9	1	2	1	0	0	3	1	0	0	0	3	2	2	0	0	0	0	0	0	0	4	0	4	8	1	4	0	0	1	0	2	0	2	2	2	1	0	0	0	0	0	0	2	0	0	0	1	3	0	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
GU305803.1.1484	0	7	0	4	0	0	0	5	3	14	0	0	2	2	8	0	2	7	1	2	2	0	2	0	1	5	16	11	3	9	0	1	4	0	2	2	5	1	2	6	4	1	4	2	2	1	1	5	2	7	4	9	3	1	1	1	3	3	3	3	9	8	6	5	1	0	2	7	4	0	4	1	2	0	5	2	0	2	5	1	1	1	4	3	5	0	2	4	1	1	7	1	4	2	4	4	2	9	2	7	10	6	2	3	1	1	3	2	4	1	12	9	0	0	3	1	5	0	3	16	1	8	1	1	5	0	4	0	0	0	7	11	12	2	1	5	0	2	4	2	0	2	0	2	0	5	3	13	2	1	5	2	1	2	2	5	3	2	3	0	5	4	17	2	10	2	7	8	6	2	7	13	3	8	3	1	10	9	1	10	0	2	8	0	6	4	6	3	2	7	3	3	1	1	0	0	1	6	0	0	0	5	19	8	0	4	0	0	4	0	0	0	1	11	2	0	0	1	1	0	1	0	0	0	0	0	7	5	6	5	7	0
EU801039.1.1483	8	21	7	55	4	1	0	11	8	17	7	6	3	11	12	1	20	8	3	21	17	2	9	0	3	15	20	23	18	18	4	7	21	5	5	16	6	6	14	19	10	10	20	12	9	17	17	20	23	21	7	8	0	13	10	15	2	20	10	9	22	19	8	38	2	6	4	31	24	0	3	3	6	5	9	7	5	6	10	3	13	11	4	1	7	11	2	15	7	8	14	8	8	13	10	6	16	8	10	12	10	19	8	3	5	18	13	9	21	10	15	31	16	2	12	12	8	1	17	18	15	16	5	13	5	5	4	6	6	5	19	20	40	6	15	11	6	6	16	12	1	2	2	15	6	18	7	25	1	0	25	2	2	16	5	12	5	3	4	8	16	7	32	39	27	13	15	1	16	6	21	20	4	9	3	6	16	24	10	30	19	5	30	2	11	5	16	3	0	30	18	9	0	0	0	0	0	0	0	0	1	13	32	40	6	3	1	0	0	1	0	1	0	23	1	2	0	0	1	0	0	0	1	0	0	0	7	1	4	6	8	8
HM856413.1.1459	4	4	8	4	5	1	5	1	5	4	2	6	2	0	25	4	8	7	3	8	10	3	5	5	1	26	31	4	16	1	1	1	28	2	4	2	0	7	16	1	3	3	7	8	10	10	3	8	8	19	4	0	4	5	8	3	6	25	2	1	8	1	4	1	4	4	4	19	11	7	3	2	12	7	2	5	11	5	1	0	2	6	9	3	1	4	0	4	8	12	6	4	3	7	17	8	25	8	4	29	5	0	3	3	5	12	4	6	7	2	4	23	12	3	17	7	3	11	3	22	11	7	0	6	7	7	16	5	3	5	13	25	2	3	8	11	2	24	38	9	1	0	2	5	2	6	5	8	2	2	1	0	0	2	7	0	1	3	1	8	5	3	8	3	5	4	3	3	13	2	7	2	3	4	2	2	10	5	1	8	9	7	17	9	1	1	9	2	1	9	2	0	11	5	2	2	5	1	5	1	5	7	9	3	0	5	1	25	6	2	0	0	14	1	0	5	0	1	0	25	1	3	0	1	4	0	0	0	2	6	2	4
KC286854.1.1505	1	1	2	0	2	0	1	0	0	0	0	2	0	1	2	1	0	1	8	0	0	1	0	1	0	4	3	1	1	0	14	12	2	0	2	3	0	1	1	0	0	0	1	2	0	0	1	0	0	1	0	2	1	2	0	1	1	4	1	0	0	1	0	0	7	3	2	1	0	3	0	6	4	2	0	0	8	0	0	2	0	1	1	0	1	0	0	0	1	0	3	1	0	1	0	0	3	2	3	1	3	0	0	1	0	0	7	1	5	0	0	3	4	0	0	0	2	3	0	1	4	1	1	1	0	1	0	1	1	0	1	2	0	2	3	0	1	4	1	1	5	6	7	0	0	0	3	0	30	4	0	10	8	1	3	7	7	6	7	2	8	10	0	0	2	7	0	4	1	109	2	0	21	8	12	10	5	0	0	3	3	2	0	10	0	2	0	5	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	1	0	0	0	67	137	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
AB753964.1.1456	0	0	0	0	0	0	0	0	6	2	8	4	3	0	2	1	0	0	0	0	3	0	5	0	6	3	1	0	0	1	1	0	2	2	1	0	1	2	4	0	6	0	0	0	0	4	6	0	2	0	2	1	2	2	3	3	9	6	0	0	0	1	0	0	0	0	0	3	0	0	0	4	1	9	8	3	0	4	1	0	0	2	4	6	3	2	10	0	5	0	1	0	0	0	0	6	3	0	0	1	1	1	0	1	3	0	1	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	6	0	2	2	4	2	1	1	2	1	0	3	5	3	2	0	6	1	0	0	0	2	1	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	6	0	6	0	0	0	0	1	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JX448570.1.1261	3	0	2	4	1	0	0	0	5	4	7	1	1	0	0	1	1	2	1	10	7	1	5	1	4	0	2	4	0	1	6	1	1	11	4	2	1	2	2	1	0	2	3	3	3	6	5	0	2	0	4	2	4	5	3	4	2	1	4	0	0	0	2	5	1	4	0	1	2	4	7	0	4	0	1	5	0	2	3	1	4	2	4	5	7	3	4	1	6	4	0	3	6	3	5	1	5	1	9	6	0	3	1	4	4	10	1	4	0	3	1	0	4	1	0	8	6	3	1	0	0	1	4	3	5	5	9	4	1	1	0	1	0	0	4	3	3	0	2	6	0	0	0	3	5	12	0	1	0	0	2	0	0	0	1	0	0	0	0	2	0	1	2	5	0	0	1	2	0	2	0	0	0	0	0	0	0	4	2	0	5	0	0	3	0	0	5	0	0	7	1	4	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
FQ658557.1.1361	0	0	6	1	2	0	17	0	0	0	1	0	0	0	1	1	0	0	5	0	1	4	0	12	0	3	1	2	2	0	4	3	1	4	0	1	0	0	2	0	0	0	2	6	2	1	0	2	1	0	1	0	1	2	1	0	1	0	0	0	1	0	0	2	6	0	0	1	0	6	0	1	11	0	0	0	8	0	0	1	0	0	0	0	0	3	0	0	0	2	9	0	1	3	0	0	0	0	0	2	1	0	0	4	0	1	2	3	1	0	0	0	7	7	1	0	1	2	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	1	1	2	3	0	1	1	2	3	3	1	3	1	7	1	7	1	0	2	1	0	10	1	1	0	0	0	2	2	2	0	0	0	0	0	1	2	0	1	0	0	1	1	0	0	1	0	2	8	2	4	4	4	0	0	2	0	0	2	0	3	1	0	0	0	0	4	0	0	1	0	4	0	0	0	10	0	0	6	1	0	2	0	0	0	0
