#OTU ID	erken.28	erken.88	erken.79	erken.68	erken.38	erken.85	erken.57	erken.71	erken.42	erken.6	erken.55	erken.69	erken.97	erken.61	erken.60	erken.56	erken.45	erken.64	erken.43	erken.34	erken.23	erken.44	erken.16	erken.5	erken.82	erken.26
FN668259.1.1474	266	218	213	58	10	8	4	3	3	2	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0
JX221823.1.1478	100	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0	1	0	0	0	1	0	0	0
HM263347.1.1344	31	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GU305856.1.1443	20	13	44	1	0	20	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU800360.1.1446	13	5	18	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
EU803460.1.1447	8	8	29	0	0	5	0	0	1	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0
FN668262.1.1467	8	5	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU803786.1.1256	7	3	6	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
EU803376.1.1258	6	1	20	2	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
JX448570.1.1261	4	4	12	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HM129561.1.1443	3	50	0	0	1	332	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	23	0	0
JN869030.1.1506	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU705057.1.1276	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU800571.1.1447	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FN668268.1.1474	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU801039.1.1483	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU803732.1.1421	2	4	7	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
JQ941843.1.1364	2	2	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GU574353.1.1321	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HM445936.1.1502	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KF441562.1.1494	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JN868973.1.1510	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU801647.1.1478	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HM856571.1.1445	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU803252.1.1450	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AUSH02000015.468.1961	0	125	1	0	382	0	186	109	0	1	0	4	0	0	14	0	0	68	5	18	1	15	0	0	0	0
AB021390.1.1508	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ502260.1.1488	0	16	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0
KC286854.1.1505	0	9	0	0	12	0	6	2	450	225	263	407	0	2	5	0	6	0	0	453	483	2	0	2	8	479
JX015603.1.1441	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JF139490.1.1343	0	2	0	0	10	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0
AB806518.1.1446	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KF010745.1.1485	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GABT01019963.848.2718	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEMH01007120.1017.2392	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FN421555.1.1369	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FQ658557.1.1361	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FN421585.1.1365	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ976563.1.1391	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JF118092.1.1357	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GQ388901.1.1482	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAOK01049488.5421.6827	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FQ658994.1.1350	0	0	1	0	0	0	35	98	0	1	0	0	0	62	70	0	148	0	0	0	0	30	53	28	103	0
AJ867754.1.1521	0	0	1	0	0	0	153	56	0	0	0	0	0	8	54	1	18	0	0	0	0	34	30	0	95	0
FM161354.1.1520	0	0	1	0	0	0	48	132	0	27	1	7	0	100	128	0	212	15	0	2	0	39	86	57	184	0
AB753922.1.1459	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JX521012.1.1454	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ856435.1.1447	0	0	0	66	0	0	0	0	2	0	0	0	0	0	156	27	0	0	0	0	0	0	0	0	0	0
GU305742.1.1480	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU800554.1.1494	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JN869123.1.1501	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
EU801144.1.1494	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HM346776.1.1224	0	0	0	0	0	0	3	5	0	0	0	0	0	2	0	0	4	0	0	0	0	1	1	1	3	0
KC683060.1.1482	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ178716.1.1411	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JX949883.1.1372	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
JN869113.1.1505	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HQ230144.1.1457	0	0	0	0	0	0	0	0	0	16	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	1
CU927369.1.1351	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
HM016168.1.1389	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FN396954.1.1256	0	0	0	0	0	0	26	0	8	0	2	0	0	0	1	0	0	214	402	3	0	0	180	198	1	0
JQ684482.1.1407	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	5	0	0	0	0	0	3	0	4	0
JX221982.1.1396	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	109	0	0	0	0	0	0	0	0
