SUID,edge,from,to,av_corr,interaction,name,phydist,from_genus,from_col,to_genus,to_col,from_phyla,to_phyla,from_phyla_col,to_phyla_col
884,121to189,EU803460.1.1447,GU305856.1.1443,0.763110077,co,EU803460.1.1447 (co) GU305856.1.1443,0,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1029,113to189,EU800360.1.1446,GU305856.1.1443,0.479305972,co,EU800360.1.1446 (co) GU305856.1.1443,0,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1261,23to106,EU800571.1.1447,JQ941843.1.1364,0.3135853,co,EU800571.1.1447 (co) JQ941843.1.1364,0,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
891,121to171,EU803460.1.1447,EU803376.1.1258,0.603330417,co,EU803460.1.1447 (co) EU803376.1.1258,0.00326,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
905,171to189,EU803376.1.1258,GU305856.1.1443,0.446461133,co,EU803376.1.1258 (co) GU305856.1.1443,0.00326,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
886,121to212,EU803460.1.1447,EU803786.1.1256,0.488349793,co,EU803460.1.1447 (co) EU803786.1.1256,0.00443,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
972,189to212,GU305856.1.1443,EU803786.1.1256,0.48196871,co,GU305856.1.1443 (co) EU803786.1.1256,0.00443,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
877,9to121,JX448570.1.1261,EU803460.1.1447,0.419112269,co,JX448570.1.1261 (co) EU803460.1.1447,0.00498,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
879,9to171,JX448570.1.1261,EU803376.1.1258,0.542786639,co,JX448570.1.1261 (co) EU803376.1.1258,0.00498,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
882,9to106,JX448570.1.1261,JQ941843.1.1364,0.34813179,co,JX448570.1.1261 (co) JQ941843.1.1364,0.00498,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
883,9to113,JX448570.1.1261,EU800360.1.1446,0.363565503,co,JX448570.1.1261 (co) EU800360.1.1446,0.00498,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
893,121to207,EU803460.1.1447,EU803732.1.1421,0.565477129,co,EU803460.1.1447 (co) EU803732.1.1421,0.00498,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
903,171to207,EU803376.1.1258,EU803732.1.1421,0.423831173,co,EU803376.1.1258 (co) EU803732.1.1421,0.00498,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
969,189to207,GU305856.1.1443,EU803732.1.1421,0.440219476,co,GU305856.1.1443 (co) EU803732.1.1421,0.00498,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1032,113to207,EU800360.1.1446,EU803732.1.1421,0.373057975,co,EU800360.1.1446 (co) EU803732.1.1421,0.00498,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
906,171to212,EU803376.1.1258,EU803786.1.1256,0.402791131,co,EU803376.1.1258 (co) EU803786.1.1256,0.00551,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
1197,207to212,EU803732.1.1421,EU803786.1.1256,0.481134885,co,EU803732.1.1421 (co) EU803786.1.1256,0.00723,CaFonsibacter,turquoise1,CaFonsibacter,turquoise1,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
888,121to132,EU803460.1.1447,KP687114.1.1453,0.199839038,co,EU803460.1.1447 (co) KP687114.1.1453,0.32648,CaFonsibacter,paleturquoise1,Burkholderiales,grey,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
885,121to209,EU803460.1.1447,GU305795.1.1496,-0.278395365,me,EU803460.1.1447 (me) GU305795.1.1496,0.35704,CaFonsibacter,paleturquoise1,Alcaligenaceae,grey,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
904,171to209,EU803376.1.1258,GU305795.1.1496,-0.320772535,me,EU803376.1.1258 (me) GU305795.1.1496,0.35704,CaFonsibacter,paleturquoise1,Alcaligenaceae,grey,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
970,189to209,GU305856.1.1443,GU305795.1.1496,-0.168631543,me,GU305856.1.1443 (me) GU305795.1.1496,0.35704,CaFonsibacter,paleturquoise1,Alcaligenaceae,grey,Proteobacteria,Proteobacteria,paleturquoise1,paleturquoise1
