SUID,edge,from,to,av_corr,interaction,name,phydist,from_genus,from_col,to_genus,to_col,from_phyla,to_phyla,from_phyla_col,to_phyla_col
993,40to187,FN668259.1.1474,FN668268.1.1474,0.421899123,co,FN668259.1.1474 (co) FN668268.1.1474,0,Nanopelagicus,plum1,Nanopelagicus,plum1,Actinobacteria,Actinobacteria,purple3,purple3
998,40to118,FN668259.1.1474,HM856571.1.1445,0.371393124,co,FN668259.1.1474 (co) HM856571.1.1445,0.00109,Nanopelagicus,plum1,Nanopelagicus,plum1,Actinobacteria,Actinobacteria,purple3,purple3
747,93to187,FN668262.1.1467,FN668268.1.1474,0.550694474,co,FN668262.1.1467 (co) FN668268.1.1474,0.00345,Nanopelagicus,plum1,Nanopelagicus,plum1,Actinobacteria,Actinobacteria,purple3,purple3
986,40to93,FN668259.1.1474,FN668262.1.1467,0.447603628,co,FN668259.1.1474 (co) FN668262.1.1467,0.00345,Nanopelagicus,plum1,Nanopelagicus,plum1,Actinobacteria,Actinobacteria,purple3,purple3
1076,38to40,JN868973.1.1510,FN668259.1.1474,0.472980481,co,JN868973.1.1510 (co) FN668259.1.1474,0.00685,Nanopelagicus,plum1,Nanopelagicus,plum1,Actinobacteria,Actinobacteria,purple3,purple3
783,74to187,EU800836.1.1483,FN668268.1.1474,0.357493956,co,EU800836.1.1483 (co) FN668268.1.1474,0.0127,Nanopelagicus,plum1,Nanopelagicus,plum1,Actinobacteria,Actinobacteria,purple3,purple3
985,40to74,FN668259.1.1474,EU800836.1.1483,0.435355664,co,FN668259.1.1474 (co) EU800836.1.1483,0.0127,Nanopelagicus,plum1,Nanopelagicus,plum1,Actinobacteria,Actinobacteria,purple3,purple3
781,74to93,EU800836.1.1483,FN668262.1.1467,0.350093164,co,EU800836.1.1483 (co) FN668262.1.1467,0.01507,Nanopelagicus,plum1,Nanopelagicus,plum1,Actinobacteria,Actinobacteria,purple3,purple3
1263,29to40,JN869030.1.1506,FN668259.1.1474,0.358804977,co,JN869030.1.1506 (co) FN668259.1.1474,0.02141,Nanopelagicus,plum1,Nanopelagicus,plum1,Actinobacteria,Actinobacteria,purple3,purple3
816,35to187,FJ612159.1.1423,FN668268.1.1474,0.502897596,co,FJ612159.1.1423 (co) FN668268.1.1474,0.06176,Planktophila,magenta1,Nanopelagicus,plum1,Actinobacteria,Actinobacteria,purple3,purple3
