SUID,phylum,class,order,family,genus,species,label,name,av,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,degree.layout,domain,Eccentricity,IsSingleNode,NeighborhoodConnectivity,number,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,pcntSamples,Radiality,samples,selected,SelfLoops,shared name,Stress,sum,taxon_metblm,taxonomy,TopologicalCoefficient
456,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetales,Actinomycetales,Actinomycetales,Actinomycetales_1,AY752098.1.1391,15,3.11848341,0.01821799,0.32066869,0.25,8,3,B,6,FALSE,10.625,208,8,0,0,92,0.76461295,214,FALSE,0,AY752098.1.1391,3090,3213,0,0,0.17584746
379,Actinobacteria,Actinobacteria,Nanopelagicales,Nanopelagicaceae,acI_C,acI_C,acI_C,GU305712.1.1497,19,3.25592417,0.01928341,0.30713246,0.17857143,8,8,B,6,FALSE,10.75,19,8,0,0,83,0.74934176,193,FALSE,0,GU305712.1.1497,3804,3651,photoheterotroph,acI-C,0.20343137
367,Actinobacteria,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Nanopelagicus,limnes,N.limnes_2,FN668268.1.1474,7,3.39810427,0.00322024,0.29428173,0.55555556,9,9,B,6,FALSE,13.33333333,187,9,0,0,77,0.73354397,178,FALSE,0,FN668268.1.1474,1118,1325,"""aerobic chemoheterotroph, auxotrophy for various amino acids, vitamins and reduced sulphur sources""",acI-B1 (acI_22) Ca. Nanopelagicus sp.,0.26143791
646,Actinobacteria,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Nanopelagicus,acI-B1,Nanopel_6,JN869030.1.1506,2,3.78199052,0,0.26441103,0,1,1,B,7,FALSE,21,29,1,0,0,57,0.69088994,132,FALSE,0,JN869030.1.1506,0,287,"""aerobic chemoheterotroph, auxotrophy for various amino acids, vitamins and reduced sulphur sources""",acI-B1 (acI_4) Ca. Nanopelagicus sp.,0
654,Actinobacteria,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Nanopelagicus,acI-B1,Nanopel_7,HM856571.1.1445,2,3.78199052,0,0.26441103,0,1,1,B,7,FALSE,21,118,1,0,0,55,0.69088994,128,FALSE,0,HM856571.1.1445,0,229,"""aerobic chemoheterotroph, auxotrophy for various amino acids, vitamins and reduced sulphur sources""",acI-B1 (acI_14) Ca. Nanopelagicus sp.,0
399,Actinobacteria,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Nanopelagicus,limnes,N.limnes_1,FN668259.1.1474,166,2.78672986,0.11904613,0.35884354,0.14761905,21,21,B,6,FALSE,9.23809524,40,21,0,0,100,0.80147446,231,FALSE,0,FN668259.1.1474,20154,38433,"""aerobic chemoheterotroph, auxotrophy for various amino acids, vitamins and reduced sulphur sources""",acI-B1  (acI_9) Ca. Nanopelagicus sp.,0.10917538
400,Actinobacteria,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Nanopelagicus,acI-B1,Nanopel_5,EU800836.1.1483,4,3.45971564,0.00155174,0.2890411,0.76190476,7,7,B,6,FALSE,13.42857143,74,7,0,0,69,0.72669826,160,FALSE,0,EU800836.1.1483,628,695,"""aerobic chemoheterotroph, auxotrophy for various amino acids, vitamins and reduced sulphur sources""",acI-B1 (acI_12) Ca. Nanopelagicus sp.,0.30519481
401,Actinobacteria,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Nanopelagicus,limnes,N.limnes_3,FN668262.1.1467,6,3.22748815,0.0214614,0.30983847,0.34285714,15,15,B,6,FALSE,11.66666667,93,15,0,0,84,0.75250132,194,FALSE,0,FN668262.1.1467,4752,1213,"""aerobic chemoheterotroph, auxotrophy for various amino acids, vitamins and reduced sulphur sources""",acI-B1 (acI_13) Ca. Nanopelagicus sp.,0.2
402,Actinobacteria,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Nanopelagicus,acI-B1,Nanopel_4,FN668296.1.1471,6,3.72037915,7.36E-04,0.26878981,0,2,2,B,6,FALSE,12,168,2,0,0,75,0.69773565,175,FALSE,0,FN668296.1.1471,180,967,photoheterotroph,acI-B1 (acI_18) Ca. Nanopelagicus sp.,0.52380952
599,Actinobacteria,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Nanopelagicus,acI-B1,Nanopel_9,JN868973.1.1510,2,3.78199052,0,0.26441103,0,1,1,B,7,FALSE,21,38,1,0,0,51,0.69088994,118,FALSE,0,JN868973.1.1510,0,239,"""aerobic chemoheterotroph, auxotrophy for various amino acids, vitamins and reduced sulphur sources""",acI-B1 (acI_8) Ca. Nanopelagicus sp.,0
