OTUID,sum_TS,no_samples_TS,av_TS,pcntSamples_TS,sum_MC,samples_MC,av_MC,pcntSamples_MC
FN668259.1.1474,38433,231,166,100,794,16,49.625,61.53846154
AB661539.1.1411,30312,180,168,78,0,0,0,0
HE574392.1.1305,22519,231,97,100,0,0,0,0
EU117671.1.1506,10827,223,49,96,0,0,0,0
FN668271.1.1326,8530,230,37,99,0,0,0,0
HM856448.1.1440,6921,198,35,85,0,0,0,0
HM856500.1.1441,6364,172,37,74,0,0,0,0
GU305833.1.1453,5298,124,43,53,0,0,0,0
HM856480.1.1443,4444,229,19,99,0,0,0,0
HM128951.1.1451,4031,224,18,97,0,0,0,0
FN668038.1.1504,3735,229,16,99,0,0,0,0
GU305712.1.1497,3651,193,19,83,0,0,0,0
GU305784.1.1481,3466,59,59,25,0,0,0,0
U85190.1.1261,3418,231,15,100,0,0,0,0
KP686956.1.1447,3379,209,16,90,0,0,0,0
AF361195.1.1502,3355,188,18,81,0,0,0,0
AY752098.1.1391,3213,214,15,92,8,1,8,3.846153846
EU117811.1.1506,3161,227,14,98,0,0,0,0
EU800831.1.1486,3012,204,15,88,0,0,0,0
DQ521525.1.1438,2882,218,13,94,0,0,0,0
KC286854.1.1505,2814,17,165.5294118,65.38461538,2814,17,165.5294118,65.38461538
GU305856.1.1443,2803,177,16,76,101,8,12.625,30.76923077
HM856380.1.1434,2469,178,14,77,0,0,0,0
FJ612159.1.1423,2461,204,12,88,0,0,0,0
GQ130152.1.1440,2407,135,18,58,0,0,0,0
EU801039.1.1483,2361,205,12,88,3,1,3,3.846153846
GU119717.1.1408,2323,94,25,41,0,0,0,0
EU803460.1.1447,2145,171,13,74,56,8,7,30.76923077
KX163603.1.1375,2100,209,10,90,0,0,0,0
GU940745.1.1323,1975,178,11,77,0,0,0,0
HM856412.1.1437,1798,124,15,53,0,0,0,0
EU234279.1.1497,1708,189,9,81,0,0,0,0
FJ612352.1.1449,1706,190,9,82,0,0,0,0
AJ401105.1.1347,1526,49,31,21,0,0,0,0
AB698042.1.1542,1525,158,10,68,0,0,0,0
HM129219.1.1449,1433,181,8,78,0,0,0,0
HM856413.1.1459,1412,209,7,90,0,0,0,0
JQ088178.63413.64880,1411,70,20,30,0,0,0,0
FN668181.1.1494,1366,147,9,63,0,0,0,0
EU800360.1.1446,1328,184,7,79,41,6,6.833333333,23.07692308
FN668268.1.1474,1325,178,7,77,4,2,2,7.692307692
FR749730.1.1509,1295,54,24,23,0,0,0,0
JN626727.1.1334,1289,198,7,85,0,0,0,0
FN668303.1.1462,1269,217,6,94,0,0,0,0
JX887895.1.1444,1268,42,30,18,0,0,0,0
AM230703.1.1469,1231,38,32,16,0,0,0,0
FN668262.1.1467,1213,194,6,84,24,4,6,15.38461538
GU305749.1.1449,1190,129,9,56,0,0,0,0
GU305778.1.1502,1184,148,8,64,0,0,0,0
FJ572664.1.1483,1181,173,7,75,0,0,0,0
JQ905994.1.1345,1181,205,6,88,0,0,0,0
HQ860586.1.1449,1178,189,6,81,0,0,0,0
AY752119.1.1395,1168,206,6,89,0,0,0,0
AY509418.1.1326,1168,132,9,57,0,0,0,0
JN626738.1.1361,1144,35,33,15,0,0,0,0
HM856573.1.1433,1119,134,8,58,0,0,0,0
FN668106.1.1476,1095,197,6,85,0,0,0,0
AJ536838.1.1378,1093,199,5,86,0,0,0,0
FN668213.1.1495,1054,168,6,72,0,0,0,0
EU800642.1.1476,1053,190,6,82,0,0,0,0
JQ723680.1.1499,1051,165,6,71,0,0,0,0
FM161354.1.1520,1039,15,69.26666667,57.69230769,1039,15,69.26666667,57.69230769
FN396954.1.1256,1035,10,103.5,38.46153846,1035,10,103.5,38.46153846
AF418943.1.1444,1024,124,8,53,0,0,0,0
GU305742.1.1480,1016,162,6,70,3,1,3,3.846153846
FJ612150.1.1429,1013,161,6,69,0,0,0,0
