phylum	run4.1	run4.10	run4.100	run4.101	run4.102	run4.103	run4.104	run4.105	run4.106	run4.107	run4.108	run4.109	run4.11	run4.110	run4.111	run4.112	run4.113	run4.114	run4.115	run4.116	run4.117	run4.118	run4.119	run4.12	run4.120	run4.121	run4.122	run4.123	run4.124	run4.125	run4.126	run4.127	run4.128	run4.129	run4.13	run4.130	run4.131	run4.132	run4.133	run4.134	run4.135	run4.136	run4.138	run4.139	run4.14	run4.140	run4.141	run4.142	run4.143	run4.144	run4.145	run4.146	run4.147	run4.148	run4.149	run4.15	run4.150	run4.151	run4.152	run4.153	run4.154	run4.155	run4.156	run4.157	run4.158	run4.159	run4.16	run4.160	run4.161	run4.162	run4.163	run4.164	run4.165	run4.166	run4.167	run4.168	run4.169	run4.17	run4.170	run4.171	run4.172	run4.173	run4.174	run4.176	run4.177	run4.178	run4.179	run4.18	run4.180	run4.181	run4.182	run4.183	run4.184	run4.185	run4.186	run4.187	run4.188	run4.189	run4.190	run4.191	run4.192	run4.193	run4.194	run4.195	run4.196	run4.197	run4.199	run4.2	run4.20	run4.200	run4.202	run4.203	run4.204	run4.205	run4.21	run4.22	run4.23	run4.24	run4.25	run4.26	run4.27	run4.28	run4.29	run4.3	run4.30	run4.31	run4.32	run4.33	run4.34	run4.35	run4.36	run4.37	run4.38	run4.39	run4.4	run4.40	run4.41	run4.42	run4.43	run4.44	run4.45	run4.46	run4.47	run4.48	run4.49	run4.5	run4.50	run4.51	run4.52	run4.53	run4.54	run4.55	run4.56	run4.57	run4.58	run4.59	run4.6	run4.60	run4.62	run4.63	run4.64	run4.65	run4.66	run4.67	run4.68	run4.69	run4.7	run4.70	run4.71	run4.72	run4.73	run4.74	run4.75	run4.76	run4.77	run4.78	run4.79	run4.8	run4.80	run4.81	run4.82	run4.83	run4.84	run4.85	run4.86	run4.87	run4.88	run4.89	run4.9	run4.90	run4.91	run4.92	run4.93	run4.94	run4.95	run4.96	run4.97	run4.98	run4.99	S10a	S11a	S13a	S14a	S15a	S16a	S17a	S18a	S19a	S1a	S20a	S21a	S22a	S23a	S24a	S25a	S26a	S27a	S2a	S3a	S45a	S46a	S47a	S48a	S49a	S4a	S50a	S51a	S5a	S6a	S7a	S8a	S9a
Unassigned;Other	0.004666667	0.000666667	0.000666667	0.002	0.000666667	0.000666667	0	0.006	0.003333333	0	0.001333333	0	0	0.000666667	0.005333333	0.007333333	0.000666667	0.007333333	0.000666667	0.002	0	0	0.003333333	0.006666667	0	0	0	0	0.000666667	0.000666667	0	0	0	0.000666667	0.004666667	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0.000666667	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001333333	0	0.000666667	0	0	0	0	0	0	0	0.001333333	0.000666667	0.000666667	0.000666667	0.002	0.001333333	0.001333333	0.001333333	0.008	0.004666667	0.000666667	0.003333333	0	0.000666667	0.000666667	0.000666667	0.000666667	0	0	0	0	0	0.002	0.002666667	0.004	0	0.000666667	0	0	0.000666667	0	0.004666667	0	0.000666667	0	0.000666667	0	0.000666667	0	0.001333333	0.002666667	0	0.002666667	0.006666667	0	0	0	0.004666667	0.001333333	0	0.002	0	0.000666667	0.002666667	0.002	0.000666667	0.000666667	0.006666667	0.004	0	0.000666667	0.000666667	0.000666667	0.001333333	0.012	0.000666667	0.000666667	0	0.002666667	0.000666667	0.002666667	0.000666667	0.003333333	0.001333333	0	0	0.001333333	0.002	0	0.001333333	0.014666667	0.001333333	0.003333333	0.001333333	0.002666667	0.001333333	0.001333333	0	0	0.003333333	0.002	0	0.002	0.001333333	0	0	0.003333333	0	0.000666667	0	0	0.018666667	0.001333333	0	0.005333333	0.000666667	0.01	0	0.004666667	0.002	0.002666667	0	0.002666667	0	0.002666667	0	0.005333333	0	0.001333333	0.000666667	0.001333333	0.001333333	0.000666667	0.000666667	0.001333333	0.000666667	0.000666667	0.002	0.003333333	0	0.001333333	0.000666667	0	0.000666667	0.001333333	0	0.002	0.001333333	0.001333333	0.001333333	0.000666667	0.000666667	0	0.002	0.001333333	0.004	0.004	0.004	0	0.001333333	0.01	0.000666667	0	0	0	0.003333333
k__Archaea;p__Crenarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__[Parvarchaeota]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001333333	0	0	0	0	0	0	0	0	0
k__Bacteria;p__AC1	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria	0.008666667	0.009333333	0.003333333	0.01	0.006	0.010666667	0.000666667	0.032666667	0.002	0.021333333	0.01	0.006	0.004	0.002	0.003333333	0.009333333	0.004	0.002	0.008	0.009333333	0.002	0.011333333	0.005333333	0.006	0.012666667	0.006	0.003333333	0.000666667	0.018	0.008666667	0	0.001333333	0.003333333	0.002	0.017333333	0.002	0.002666667	0.004	0.000666667	0.000666667	0.001333333	0	0.000666667	0	0.026	0.000666667	0	0.002666667	0.000666667	0.001333333	0	0.000666667	0	0.002	0.000666667	0.010666667	0	0	0.001333333	0.000666667	0.001333333	0.001333333	0.001333333	0.000666667	0.002	0.000666667	0.000666667	0.000666667	0.006	0.003333333	0.006666667	0.005333333	0.001333333	0.002	0.001333333	0.000666667	0.002666667	0.007333333	0.004666667	0.004	0.005333333	0.002666667	0.002	0.002666667	0.004	0.000666667	0.004	0.004666667	0.008666667	0.006666667	0.001333333	0.022	0.004	0.018666667	0.006666667	0	0.003333333	0.000666667	0.000666667	0	0.000666667	0.000666667	0.004666667	0.000666667	0.002	0.002	0.011333333	0.017333333	0.002666667	0.003333333	0.000666667	0.000666667	0.000666667	0	0.024	0.014666667	0.003333333	0.003333333	0.019333333	0.004666667	0.002	0.003333333	0.003333333	0.028666667	0.001333333	0.002	0.003333333	0.023333333	0.007333333	0.024	0.005333333	0.023333333	0.022	0.004	0.011333333	0.004666667	0.005333333	0.001333333	0.012	0.001333333	0.031333333	0.01	0.006	0.002	0.003333333	0.003333333	0.002666667	0.018666667	0.01	0.004666667	0.004	0.000666667	0.008666667	0.013333333	0.000666667	0.028666667	0.032	0.017333333	0.006666667	0.002666667	0.018666667	0.002	0.014666667	0.004	0.006	0.001333333	0.007333333	0.002	0.017333333	0.002666667	0.001333333	0.002666667	0.002666667	0.001333333	0.018	0.000666667	0.001333333	0.002666667	0.001333333	0.000666667	0.016666667	0.018666667	0.004666667	0.002	0.004	0.016666667	0.038	0.002666667	0.004666667	0.002	0.002	0.004666667	0.028	0.001333333	0.005333333	0.000666667	0.005333333	0.000666667	0.006	0.000666667	0.000666667	0.004	0.002	0.006666667	0	0.000666667	0.000666667	0.000666667	0.004666667	0.002	0.000666667	0	0.001333333	0.001333333	0.001333333	0.001333333	0.006	0.001333333	0.000666667	0.008	0.009333333	0.017333333	0.023333333	0.035333333	0.002	0.037333333	0.026666667	0.000666667	0.002	0.000666667	0.000666667	0
k__Bacteria;p__Actinobacteria	0.326666667	0.283333333	0.336	0.232	0.337333333	0.097333333	0.118	0.319333333	0.524666667	0.398666667	0.277333333	0.354	0.309333333	0.350666667	0.245333333	0.277333333	0.336666667	0.332666667	0.180666667	0.394	0.566	0.405333333	0.332666667	0.261333333	0.233333333	0.256666667	0.220666667	0.052666667	0.314	0.142666667	0.054	0.174666667	0.207333333	0.204666667	0.413333333	0.195333333	0.096	0.11	0.073333333	0.156666667	0.186	0.113333333	0.118666667	0.068	0.198666667	0.108	0.15	0.228666667	0.060666667	0.341333333	0.643333333	0.169333333	0.374	0.373333333	0.372	0.346	0.404	0.542	0.456	0.675333333	0.683333333	0.546666667	0.609333333	0.696666667	0.678	0.684	0.526666667	0.705333333	0.579333333	0.686666667	0.738666667	0.465333333	0.594	0.758	0.777333333	0.692666667	0.595333333	0.421333333	0.682666667	0.601333333	0.587333333	0.596666667	0.776	0.695333333	0.656666667	0.875333333	0.683333333	0.482	0.638	0.500666667	0.806	0.663333333	0.751333333	0.764	0.851333333	0.938666667	0.844666667	0.745333333	0.892	0.804	0.807333333	0.831333333	0.762	0.871333333	0.874	0.704666667	0.604666667	0.370666667	0.194	0.796666667	0.850666667	0.726666667	0.811333333	0.676666667	0.344666667	0.214666667	0.52	0.188666667	0.350666667	0.380666667	0.705333333	0.444666667	0.132	0.27	0.629333333	0.440666667	0.502666667	0.245333333	0.592666667	0.338666667	0.454666667	0.412	0.483333333	0.411333333	0.315333333	0.383333333	0.412666667	0.549333333	0.297333333	0.355333333	0.267333333	0.392	0.537333333	0.264666667	0.417333333	0.119333333	0.556666667	0.462	0.393333333	0.538666667	0.620666667	0.356666667	0.497333333	0.430666667	0.621333333	0.374666667	0.16	0.386	0.378666667	0.488666667	0.364	0.524	0.586	0.359333333	0.329333333	0.34	0.317333333	0.492	0.414666667	0.515333333	0.408666667	0.326	0.399333333	0.501333333	0.118666667	0.418666667	0.337333333	0.348	0.466666667	0.479333333	0.230666667	0.292666667	0.237333333	0.654	0.449333333	0.527333333	0.354	0.486	0.253333333	0.379333333	0.290666667	0.16	0.294	0.512666667	0.445333333	0.345333333	0.130666667	0.196666667	0.131333333	0.487333333	0.535333333	0.536	0.505333333	0.472	0.509333333	0.437333333	0.495333333	0.462666667	0.335333333	0.486	0.348666667	0.408666667	0.452666667	0.454666667	0.445333333	0.534666667	0.524666667	0.380666667	0.360666667	0.436	0.415333333	0.468666667	0.338666667	0.289333333	0.223333333	0.297333333	0.314	0.293333333	0.422	0.380666667	0.614666667	0.18
k__Bacteria;p__Armatimonadetes	0.01	0	0.001333333	0.006666667	0.001333333	0	0.005333333	0.006	0.000666667	0.002666667	0.002	0.004	0.002666667	0.005333333	0.000666667	0.004666667	0.004	0.007333333	0.006	0.004	0.001333333	0.004666667	0	0.004666667	0	0	0	0	0	0	0	0	0	0	0.014666667	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0.001333333	0	0.000666667	0	0	0	0	0	0	0	0	0.001333333	0	0.002	0	0.000666667	0.000666667	0.002	0	0	0.000666667	0.004	0	0.002	0.005333333	0.001333333	0.002666667	0.000666667	0.000666667	0.001333333	0	0.002666667	0.014666667	0.002666667	0.005333333	0.000666667	0.002666667	0	0.002	0.002666667	0.000666667	0.000666667	0.006666667	0	0.006666667	0.004	0.002666667	0.002	0.003333333	0.002666667	0.000666667	0.001333333	0.02	0	0	0.000666667	0.008666667	0.007333333	0.008	0.003333333	0.000666667	0.003333333	0.000666667	0.007333333	0.008	0.014	0.002	0.002666667	0.003333333	0.024666667	0.001333333	0.000666667	0.005333333	0.001333333	0.006	0.002	0.013333333	0.002	0.014	0.007333333	0.001333333	0.002666667	0	0.005333333	0	0.004666667	0.008	0	0.001333333	0.006	0.002666667	0.001333333	0.001333333	0.003333333	0.000666667	0.004	0.003333333	0.004	0.002	0.002	0	0.007333333	0.001333333	0.005333333	0.001333333	0.002	0.002	0	0.004666667	0	0.006	0.006	0.002	0.000666667	0.002666667	0.002666667	0.006666667	0.01	0.000666667	0.000666667	0.002	0.000666667	0.022666667	0.006	0.002666667	0.003333333	0.001333333	0.004666667	0	0.002	0.003333333	0.008	0.001333333	0	0	0.008666667	0.004	0.003333333	0.006	0	0.001333333	0.000666667	0	0	0.003333333	0.003333333	0.002	0.003333333	0.005333333	0.003333333	0.014	0.012	0.000666667	0	0.002	0.005333333	0.013333333	0.003333333	0.006666667	0	0.002666667	0.002666667	0	0	0.007333333	0.005333333	0	0.006	0.002666667	0.000666667	0.000666667	0.003333333	0.000666667	0.000666667	0.003333333	0.002666667	0.004666667
k__Bacteria;p__Bacteroidetes	0.210666667	0.128666667	0.074666667	0.208666667	0.056	0.148	0.092	0.159333333	0.064	0.077333333	0.088666667	0.126	0.142666667	0.106	0.055333333	0.064666667	0.128666667	0.236	0.135333333	0.090666667	0.101333333	0.104	0.196	0.224	0.081333333	0.054	0.058	0.217333333	0.134666667	0.068666667	0.130666667	0.024	0.032	0.028	0.120666667	0.215333333	0.288	0.072	0.012666667	0.01	0.014	0.003333333	0.01	0.009333333	0.12	0.025333333	0.053333333	0.056	0.025333333	0.082	0.038666667	0.022666667	0.026	0.070666667	0.013333333	0.188666667	0.013333333	0.042	0.062666667	0.013333333	0.02	0.023333333	0.034666667	0.015333333	0.018666667	0.041333333	0.07	0.008666667	0.094666667	0.057333333	0.04	0.101333333	0.070666667	0.025333333	0.024666667	0.025333333	0.082666667	0.136	0.056666667	0.068	0.055333333	0.096	0.026	0.07	0.033333333	0.019333333	0.048	0.14	0.061333333	0.102666667	0.023333333	0.064666667	0.027333333	0.046666667	0.030666667	0.006666667	0.020666667	0.04	0.003333333	0.046	0.032	0.012	0.043333333	0.006666667	0.005333333	0.015333333	0.047333333	0.116666667	0.176666667	0.022666667	0.007333333	0.047333333	0.024	0.036	0.149333333	0.071333333	0.160666667	0.097333333	0.133333333	0.158666667	0.055333333	0.061333333	0.108	0.154	0.05	0.066666667	0.135333333	0.187333333	0.058	0.136666667	0.129333333	0.086	0.083333333	0.146	0.108	0.101333333	0.081333333	0.118666667	0.109333333	0.31	0.155333333	0.096666667	0.173333333	0.256	0.162	0.308666667	0.051333333	0.101333333	0.135333333	0.049333333	0.084	0.04	0.076666667	0.153333333	0.074666667	0.088666667	0.156	0.132	0.103333333	0.058666667	0.079333333	0.103333333	0.054666667	0.049333333	0.062666667	0.066666667	0.108666667	0.182	0.075333333	0.168	0.032666667	0.120666667	0.166666667	0.054	0.172666667	0.137333333	0.108666667	0.132	0.157333333	0.040666667	0.154666667	0.080666667	0.25	0.060666667	0.142	0.104666667	0.146666667	0.155333333	0.232666667	0.277333333	0.22	0.060666667	0.133333333	0.104666667	0.127333333	0.163333333	0.077333333	0.236	0.164666667	0.14	0.144	0.126666667	0.121333333	0.13	0.133333333	0.124	0.134666667	0.128	0.192666667	0.114666667	0.132666667	0.079333333	0.088666667	0.103333333	0.101333333	0.107333333	0.158	0.079333333	0.14	0.11	0.122	0.101333333	0.119333333	0.104	0.107333333	0.088	0.112	0.058	0.095333333	0.094	0.043333333	0.258
k__Bacteria;p__Chlamydiae	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0.001333333	0	0	0	0.000666667	0
