class	run4.1	run4.10	run4.100	run4.101	run4.102	run4.103	run4.104	run4.105	run4.106	run4.107	run4.108	run4.109	run4.11	run4.110	run4.111	run4.112	run4.113	run4.114	run4.115	run4.116	run4.117	run4.118	run4.119	run4.12	run4.120	run4.121	run4.122	run4.123	run4.124	run4.125	run4.126	run4.127	run4.128	run4.129	run4.13	run4.130	run4.131	run4.132	run4.133	run4.134	run4.135	run4.136	run4.138	run4.139	run4.14	run4.140	run4.141	run4.142	run4.143	run4.144	run4.145	run4.146	run4.147	run4.148	run4.149	run4.15	run4.150	run4.151	run4.152	run4.153	run4.154	run4.155	run4.156	run4.157	run4.158	run4.159	run4.16	run4.160	run4.161	run4.162	run4.163	run4.164	run4.165	run4.166	run4.167	run4.168	run4.169	run4.17	run4.170	run4.171	run4.172	run4.173	run4.174	run4.176	run4.177	run4.178	run4.179	run4.18	run4.180	run4.181	run4.182	run4.183	run4.184	run4.185	run4.186	run4.187	run4.188	run4.189	run4.190	run4.191	run4.192	run4.193	run4.194	run4.195	run4.196	run4.197	run4.199	run4.2	run4.20	run4.200	run4.202	run4.203	run4.204	run4.205	run4.21	run4.22	run4.23	run4.24	run4.25	run4.26	run4.27	run4.28	run4.29	run4.3	run4.30	run4.31	run4.32	run4.33	run4.34	run4.35	run4.36	run4.37	run4.38	run4.39	run4.4	run4.40	run4.41	run4.42	run4.43	run4.44	run4.45	run4.46	run4.47	run4.48	run4.49	run4.5	run4.50	run4.51	run4.52	run4.53	run4.54	run4.55	run4.56	run4.57	run4.58	run4.59	run4.6	run4.60	run4.62	run4.63	run4.64	run4.65	run4.66	run4.67	run4.68	run4.69	run4.7	run4.70	run4.71	run4.72	run4.73	run4.74	run4.75	run4.76	run4.77	run4.78	run4.79	run4.8	run4.80	run4.81	run4.82	run4.83	run4.84	run4.85	run4.86	run4.87	run4.88	run4.89	run4.9	run4.90	run4.91	run4.92	run4.93	run4.94	run4.95	run4.96	run4.97	run4.98	run4.99	S10a	S11a	S13a	S14a	S15a	S16a	S17a	S18a	S19a	S1a	S20a	S21a	S22a	S23a	S24a	S25a	S26a	S27a	S2a	S3a	S45a	S46a	S47a	S48a	S49a	S4a	S50a	S51a	S5a	S6a	S7a	S8a	S9a
Unassigned;Other;Other	0.004666667	0.000666667	0.000666667	0.002	0.000666667	0.000666667	0	0.006	0.003333333	0	0.001333333	0	0	0.000666667	0.005333333	0.007333333	0.000666667	0.007333333	0.000666667	0.002	0	0	0.003333333	0.006666667	0	0	0	0	0.000666667	0.000666667	0	0	0	0.000666667	0.004666667	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0.000666667	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001333333	0	0.000666667	0	0	0	0	0	0	0	0.001333333	0.000666667	0.000666667	0.000666667	0.002	0.001333333	0.001333333	0.001333333	0.008	0.004666667	0.000666667	0.003333333	0	0.000666667	0.000666667	0.000666667	0.000666667	0	0	0	0	0	0.002	0.002666667	0.004	0	0.000666667	0	0	0.000666667	0	0.004666667	0	0.000666667	0	0.000666667	0	0.000666667	0	0.001333333	0.002666667	0	0.002666667	0.006666667	0	0	0	0.004666667	0.001333333	0	0.002	0	0.000666667	0.002666667	0.002	0.000666667	0.000666667	0.006666667	0.004	0	0.000666667	0.000666667	0.000666667	0.001333333	0.012	0.000666667	0.000666667	0	0.002666667	0.000666667	0.002666667	0.000666667	0.003333333	0.001333333	0	0	0.001333333	0.002	0	0.001333333	0.014666667	0.001333333	0.003333333	0.001333333	0.002666667	0.001333333	0.001333333	0	0	0.003333333	0.002	0	0.002	0.001333333	0	0	0.003333333	0	0.000666667	0	0	0.018666667	0.001333333	0	0.005333333	0.000666667	0.01	0	0.004666667	0.002	0.002666667	0	0.002666667	0	0.002666667	0	0.005333333	0	0.001333333	0.000666667	0.001333333	0.001333333	0.000666667	0.000666667	0.001333333	0.000666667	0.000666667	0.002	0.003333333	0	0.001333333	0.000666667	0	0.000666667	0.001333333	0	0.002	0.001333333	0.001333333	0.001333333	0.000666667	0.000666667	0	0.002	0.001333333	0.004	0.004	0.004	0	0.001333333	0.01	0.000666667	0	0	0	0.003333333
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea;p__[Parvarchaeota];c__[Micrarchaea]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001333333	0	0	0	0	0	0	0	0	0
k__Archaea;p__[Parvarchaeota];c__[Parvarchaea]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__AC1;c__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__AC1;c__SHA-114	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	0.000666667	0.000666667	0	0.001333333	0.000666667	0.001333333	0	0.002666667	0	0.006	0.001333333	0	0.001333333	0	0	0	0.001333333	0	0	0.001333333	0.000666667	0	0	0	0.000666667	0	0.000666667	0	0.005333333	0	0	0	0.001333333	0.000666667	0.001333333	0	0	0.000666667	0	0	0.000666667	0	0	0	0.003333333	0	0	0.000666667	0.000666667	0.000666667	0	0.000666667	0	0	0	0.003333333	0	0	0	0.000666667	0.001333333	0	0	0.000666667	0.000666667	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0.002666667	0	0.000666667	0.000666667	0	0	0.000666667	0.000666667	0	0.000666667	0	0	0	0	0.001333333	0	0	0.000666667	0	0	0	0.000666667	0	0	0.000666667	0.001333333	0	0.000666667	0	0.000666667	0.002666667	0	0.002666667	0	0	0	0	0.002	0.002666667	0	0.000666667	0.001333333	0.000666667	0	0.000666667	0	0.003333333	0	0	0	0.004	0	0.001333333	0	0	0.000666667	0.000666667	0.001333333	0	0	0.000666667	0.000666667	0.000666667	0.001333333	0.002	0.000666667	0.000666667	0	0	0	0.003333333	0	0	0	0.000666667	0	0.003333333	0	0.002666667	0.002666667	0	0.001333333	0	0.003333333	0	0.000666667	0.000666667	0.000666667	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0.000666667	0	0.000666667	0.004	0	0	0.000666667	0.000666667	0.000666667	0.000666667	0	0	0	0.000666667	0.003333333	0	0.002	0	0	0	0.000666667	0	0	0	0	0.000666667	0	0	0	0	0.000666667	0.000666667	0	0	0	0	0	0	0	0	0	0.004	0.002666667	0.006666667	0.002	0.003333333	0.000666667	0.004	0.003333333	0	0	0.000666667	0.000666667	0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0.001333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Acidobacteria;c__BPC102	0	0	0	0.000666667	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
