av_corr,phydist,primary
0.428918847,0.00723,MC_Cafonsi_1_edge
0.462175399,0.63666,MC_Cafonsi_1_edge
0.503604569,0.40544,MC_Cafonsi_1_edge
0.511967393,0.00723,MC_Cafonsi_1_edge
0.518939173,0,MC_Cafonsi_1_edge
0.552924224,0.00498,MC_Cafonsi_1_edge
0.553712064,0.01052,MC_Cafonsi_1_edge
0.55526554,0.67568,MC_Cafonsi_1_edge
0.556079887,0.6851,MC_Cafonsi_1_edge
0.560749419,0.00443,MC_Cafonsi_1_edge
0.56088992,0,MC_Cafonsi_1_edge
0.573890101,0.72194,MC_Cafonsi_1_edge
0.578943187,0.02378,MC_Cafonsi_1_edge
0.592242139,0.00498,MC_Cafonsi_1_edge
0.598986864,0.72162,MC_Cafonsi_1_edge
0.602091432,0.00326,MC_Cafonsi_1_edge
0.603566608,0.02141,MC_Cafonsi_1_edge
0.61885515,0.00326,MC_Cafonsi_1_edge
0.641804906,0.5076,MC_Cafonsi_1_edge
0.646976273,0.50587,MC_Cafonsi_1_edge
0.648129961,0.50584,MC_Cafonsi_1_edge
0.656343658,0.00326,MC_Cafonsi_1_edge
0.660257111,0.50996,MC_Cafonsi_1_edge
0.671667098,0.00443,MC_Cafonsi_1_edge
0.676860788,0.50588,MC_Cafonsi_1_edge
0.682059484,0,MC_Cafonsi_1_edge
0.688042687,0.72123,MC_Cafonsi_1_edge
0.689549217,0.00443,MC_Cafonsi_1_edge
0.692295299,0.00498,MC_Cafonsi_1_edge
0.696339894,0.40505,MC_Cafonsi_1_edge
0.701014067,0.50588,MC_Cafonsi_1_edge
0.7134631,0.00498,MC_Cafonsi_1_edge
0.714237615,0.88656,MC_Cafonsi_1_edge
0.714988435,0.52212,MC_Cafonsi_1_edge
0.717328764,0.99184,MC_Cafonsi_1_edge
0.717328764,0.9188,MC_Cafonsi_1_edge
0.717328764,0.98948,MC_Cafonsi_1_edge
0.717328764,0.92052,MC_Cafonsi_1_edge
0.717328764,0.02138,MC_Cafonsi_1_edge
0.717328764,0.50813,MC_Cafonsi_1_edge
0.718277794,0.00498,MC_Cafonsi_1_edge
0.718278128,0.00498,MC_Cafonsi_1_edge
0.719158709,0.67279,MC_Cafonsi_1_edge
0.720003356,0.50588,MC_Cafonsi_1_edge
0.727922386,0.00498,MC_Cafonsi_1_edge
0.731821817,0.00345,MC_Cafonsi_1_edge
0.732083069,0.00498,MC_Cafonsi_1_edge
0.736816321,0.50824,MC_Cafonsi_1_edge
0.738505281,0.50756,MC_Cafonsi_1_edge
0.739425838,0.40576,MC_Cafonsi_1_edge
0.743611497,0,MC_Cafonsi_1_edge
0.745510954,0.6735,MC_Cafonsi_1_edge
0.775075062,0.00551,MC_Cafonsi_1_edge
0.778131959,0.00498,MC_Cafonsi_1_edge
0.596410162,0.37513,MC_basal_fonsi_1_edge
0.71822408,0.50825,MC_basal_fonsi_1_edge
0.597084681,0.00686,MC_basal_fonsi_1_edge
