env	limnohab_Pcor	limnohab_Ppval	LD12_Pcor	LD12_Ppval	acI_Pcor	acI_Ppval
av_depth	-0.018780071	0.776004577	0.181199946	0.009111049	0.005255181	0.983372529
secchi_m	0.024246198	0.773430868	0.372900843	5.18E-08	-0.048348151	0.545162954
Depth.secchi	-0.050434705	0.596721253	0.073063268	0.307704593	-3.91E-05	0.999538036
pH	0.14283142	0.080637338	-0.216735059	0.002246549	0.231248408	0.000976193
Alk_mekw_per_L	0.356651595	3.21E-06	-0.15254629	0.043490706	0.23660898	0.001336279
Cond_mS_per_m	-0.167324308	0.049454481	0.203928431	0.005877851	-0.256015319	0.000633903
Col_mgPt_per_L	0.276581131	0.000625727	-0.533387178	4.66E-15	0.168459866	0.025452571
turbidity_FNU_EV26	-0.124917213	0.154589936	-0.220971129	0.002969359	-0.099858326	0.2145734
SPM_mg_per_L	-0.114651404	0.192447423	-0.334474101	3.75E-06	-0.18168594	0.015678694
SPOM_mg_per_L	-0.169835288	0.049454481	-0.317326609	1.18E-05	-0.125198767	0.109443139
Chla_ug_per_L	-0.166712564	0.049454481	-0.388026174	1.63E-08	-0.327595681	1.98E-06
MRP_per_PO4P_ug_per_L	0.064519113	0.469444679	0.135290126	0.056505823	-0.237238411	0.000743234
PP_ug_per_L	-0.235215242	0.004281125	-0.395518131	3.06E-08	-0.1872368	0.013712679
TotP_ug_per_L	-0.040881994	0.663735742	-0.06492646	0.343270216	-0.351996423	2.16E-07
NH4_ug_per_L	-0.023633501	0.773430868	0.216628533	0.003454797	-0.048120193	0.545162954
NO2andNO3_ug_per_L	0.083859817	0.360705971	-0.012053402	0.85604615	-0.453441017	1.09E-11
PN_ug_per_L	-0.232019266	0.004281125	-0.281286741	0.000131898	-0.06479733	0.439738799
TotN_ug_per_L	-0.063811454	0.469444679	-0.102702055	0.14870566	-0.372244391	3.99E-08
Si_ug_per_L	0.034895614	0.722613177	0.081606335	0.28552959	-0.284778638	0.000122357
Temp_C	-0.135949379	0.104902071	0.258765608	0.000291975	0.39437251	1.66E-08
O2pcnt	0.079334306	0.395000729	-0.116278542	0.114828496	-0.063655972	0.439738799
