sample	Accession	collection_date	depth_m	Stratification	season	Layer	seq_shape	year	av_depth	secchi_m	pH	Alk_mekw_per_L	Cond_mS_per_m	Col_mgPt_per_L	turbidity_FNU_EV26	TotP_ug_per_L	NH4_ug_per_L	NO2andNO3_ug_per_L	PN_ug_per_L	TotN_ug_per_L	Si_ug_per_L	Temp_C	Chla_ug_per_L	PP_ug_per_L	SPOM_mg_per_L	O2pcnt	SPM_mg_per_L	MRP_per_PO4P_ug_per_L	NO2_ug_per_L	NO3_ug_per_L	Abs_per_ofiltrerat_per__420_per_nm_per_5cm	Abs_per_filtrerad_per__420_per_nm_per_5cm	O2_mg_L	LD12	acI	C111	Comamonadaceae	limnohab	flavo	luteo	Alcaligenaceae	polynuc	Chitinophagaceae	Ralstonia	Sphingomonas	synechococcus	nostocaceae	microcystis	haptophyceae	cryptophyta	streptphyt	stramenopiles	phytos
S16a	SRA	1/7/08	0-8	summer strat.	epi	epi	1	2008	4	5.9	8.17	1.6943	27.1	12.5	0.86	15	6	0.2	34.8276	509	772	18	1.91294	4.62069	0.6	95	1	6	0.1	0.1	0.045	0.036	NA	8.1333333	23.7333333	4.6	5.0666667	1.2	3.3333333	0.1333333	0.4	0.2666667	6.0666667	0	0.1333333	5.2	1.5333333	0.1333333	0	2.1333333	0	0.7333333	10.3333333
run4.39	ERS1884187	1/7/14	0-18	summer strat.	epi	epi	4	2014	9	4.6	8.02	1.817612749	26.8	20	0.7	18.32	13.6553	8.84	36.08689655	651.46	1155.73	14.86111111	2.75049	5.849655172	0.8	90.09444444	1.3	5.44	NA	NA	0.061	0.051	9.127777778	5.3333333	21.8	4.6666667	4.2	0.7333333	0.4	0.2	0.1333333	0.3333333	4.8	0	0.2	1.9333333	0.2	17.0666667	0	8.1333333	0.0666667	1.1333333	29.2
run4.9	ERS1884254	10/6/14	0-4	summer strat.	epi	epi	4	2014	2	4	8.18	1.769863529	26.5	17.5	0.55	14.53	2.4269	0.48	49.75517241	592.66	758	17.46	1.1772	7.213103448	0.6	106.76	0.2	-0.37	NA	NA	0.064	0.057	10.332	2.9333333	28.1333333	4.3333333	2.8666667	0.2	0.6666667	0	0.1333333	0	2.6666667	0	0	0	0.4666667	3.7333333	0.0666667	2.4666667	0	33.0666667	39.8
S11a	SRA	11/6/08	0-8	summer strat.	epi	epi	1	2008	4	3.9	7.9	1.57279	27.6	15	1.7	16	8	1	58.2069	655	396	17.7	1.24026	7.03448	0.7	107	2.9	0.1	0.1	0.9	0.05	0.036	NA	4.2666667	16.7333333	4.4666667	3.4	0.8666667	1.4666667	0.9333333	0.2	0.0666667	6.2	0	0.0666667	2.1333333	3.8666667	1.6666667	0.1333333	1.6666667	0	3.4	13.1333333
run4.188	ERS1884149	11/6/13	0-8	summer strat.	epi	epi	4	2013	4	4	8.15	1.760477419	26.5	25	0.6	18.9	2.357	0.676	57.01834483	598.683	184.796	16.86666667	2.746629	7.069172414	0.9	97.43333333	1	2.02	NA	NA	0.083	0.071	9.442222222	2	27.4666667	4.8666667	2.2666667	0.6	0.5333333	0	0	0	2.2666667	0	0.0666667	0.1333333	0.5333333	3	0	2.3333333	0	37.7333333	43.9333333
run4.91	ERS1884245	11/7/12	0-8	summer strat.	epi	epi	4	2012	4	5.4	8.23	1.984708397	27	15	0.74	21.59	19.25	4.17	55.17931034	629	779.6	18.2	2.235415	5.951724138	1.1	95.97777778	1.6	5.63	0.87	3.3	NA	NA	8.947777778	1.3333333	4.4666667	4.7333333	2.4666667	0.3333333	4.6666667	0	0.2666667	0.2	4.8666667	0	0	0.3333333	0	0	0.6	7.1333333	0	33.1333333	41.4666667
run4.31	ERS1884179	12/8/14	0-4	summer strat.	epi	epi	4	2014	2	3	8.56	1.721965714	26.2	22.5	2.3	24.4	3.9971	3.62	151.7491667	963.69	979.03	22.42	13.09977	11.25916667	3.4	103.48	4	0.29	NA	NA	0.081	0.05	8.928	3.4	9.2	1.4	1.4666667	0.0666667	1.2	0.8	0.0666667	0	2.2666667	0	0	0.8666667	50.8	2.0666667	0	1.2666667	0	0.1333333	56.2666667
run4.149	ERS1884106	13/5/13	0	summer strat.	epi	epi	4	2013	0	1.7	8.74	1.859380645	26	40	2.3	33.05	1.775	1.069	114.2395862	730.79	26.316	11.2	22.929546	18.61103448	4.4	139.8	8	3.87	NA	NA	0.135	0.087	15.32	6.9333333	15.8666667	12.8	2.7333333	0.4666667	0.6666667	0	0.5333333	0.1333333	3	0	0	0.6666667	0	1.4666667	0	2	0	0.9333333	5.2
run4.150	ERS1884108	13/5/13	4.25	summer strat.	epi	epi	4	2013	4.25	1.7	8.74	1.859380645	26	40	2.3	33.05	1.775	1.069	114.2395862	730.79	26.316	10.5	22.929546	18.61103448	4.4	138.6	8	3.87	NA	NA	0.135	0.087	15.45	4.4	48.6	2.9333333	1.8	0.4	0.3333333	0	0.0666667	0.1333333	3.1333333	0	0.0666667	0.6666667	3.2666667	1.6	0	1.3333333	0	14.7333333	21.9333333
run4.151	ERS1884109	13/5/13	0-4	summer strat.	epi	epi	4	2013	2	1.7	8.74	1.859380645	26	40	2.3	33.05	1.775	1.069	114.2395862	730.79	26.316	10.8	22.929546	18.61103448	4.4	139.6	8	3.87	NA	NA	0.135	0.087	15.44	2.2666667	24.4	13.0666667	5.3333333	1.6666667	0.2666667	0	0.3333333	0.4	2.2666667	0	0.2666667	0.2	0.0666667	4	0.1333333	5.2	0	2.6	14
run4.153	ERS1884111	13/5/13	1.7	summer strat.	epi	epi	4	2013	1.7	1.7	8.74	1.859380645	26	40	2.3	33.05	1.775	1.069	114.2395862	730.79	26.316	10.7	22.929546	18.61103448	4.4	139.7	8	3.87	NA	NA	0.135	0.087	15.48	5.3333333	22.6666667	2.6666667	3.4666667	0.6	0.4	0.0666667	0.2	0	2.4	0	0	1.8666667	0.1333333	3.6	0.0666667	2.2666667	0	27.9333333	36.5333333
run4.202	ERS1884163	13/8/13	0-8	summer strat.	epi	epi	4	2013	4	3.75	8.04	1.891315663	26.7	30	1.5	24.07	17.018	0.066	120.2068966	750	882.384	19.14444444	8.13646	11.98310345	2	94.46666667	3	3.97	NA	NA	0.092	0.06	8.66	4.8	26.0666667	7.6	5.6666667	0.6666667	0.2666667	0.0666667	0.1333333	0.0666667	6.0666667	0	0.2666667	3.1333333	0.4666667	3.4666667	0.0666667	1.7333333	0	1.8666667	10.8666667
run4.65	ERS1884216	13/9/11	0-16	summer strat.	epi	epi	4	2011	8	3	7.97	1.83	27.9	15	2.4	56	36	8	62	643	934	17.27058824	3.63	7	1	85.57647059	2.1	39	0.5	7.5	NA	NA	8.021764706	2.9333333	23	5.4	3.6	1	1	0.3333333	0.1333333	0.1333333	6.5333333	0	0	6.9333333	0.6666667	15.2	0	3.5333333	0	1.1333333	28.3333333
S17a	SRA	14/7/08	0-12	summer strat.	epi	epi	1	2008	6	3.65	7.98	1.6549	26.9	12.5	1.22	25	17	5	67.6552	719	1112	19	8.98733	9.93103	1.4	94	2.1	4	1	4	0.05	0.033	NA	5.0666667	28.6666667	4.6	3.9333333	0.3333333	0.5333333	0.2666667	0	0	3.4	0	0.0666667	10.8	0.6666667	1.4	0	0.6666667	0	2.8	18.1333333
run4.58	ERS1884208	14/8/12	0-8	summer strat.	epi	epi	4	2012	4	2.65	8.09	1.870617899	26.7	12.5	1.31	28.34	23.1	9.058	125.0344828	728.716	950.4	19.38888889	14.354948	21.13482759	1.9	91.87777778	3.1	1.79	1.145	NA	NA	NA	8.675555556	1.6666667	19.1333333	4.8	2.2666667	0.4	0.6	0.0666667	0.0666667	0	0.7333333	0	0	0.1333333	0.5333333	36.4666667	0.1333333	1.6	0	14.2666667	53.5333333
run4.154	ERS1884112	16/5/13	0	summer strat.	epi	epi	4	2013	0	2.5	8.59	NA	NA	NA	NA	25.86	NA	0.118	NA	698.4	NA	10.4	10.682796	NA	NA	123.5	NA	2.79	NA	NA	NA	NA	13.89	1.9333333	23.2666667	3.2666667	3.4666667	0.5333333	0.8666667	0	0.1333333	0.0666667	1.2	0	0.0666667	0.2	0.0666667	40.2	0	2	0	3.4666667	46.5333333
run4.155	ERS1884113	16/5/13	2.5	summer strat.	epi	epi	4	2013	2.5	2.5	8.59	NA	NA	NA	NA	25.86	NA	0.118	NA	698.4	NA	9.9	10.682796	NA	NA	124.6	NA	2.79	NA	NA	NA	NA	14.18	7.2	26.8	4.2666667	4.0666667	0.4666667	0.4	0.2	0.0666667	0.1333333	4.5333333	0	0	1.4	1.1333333	7.2	0.2	2.4666667	0	4.3333333	17.2666667
run4.157	ERS1884115	16/5/13	0-4	summer strat.	epi	epi	4	2013	2	2.5	8.59	NA	NA	NA	NA	25.86	NA	0.118	NA	698.4	NA	9.92	10.682796	NA	NA	124.14	NA	2.79	NA	NA	NA	NA	14.124	6.6	22.3333333	6.2666667	3.6666667	1.2	1.2666667	0.0666667	0.1333333	0.3333333	8.9333333	0	0.0666667	4.1333333	0.9333333	0	0	3.2	0	0.2666667	8.8666667
S13a	SRA	16/6/08	0-14	summer strat.	epi	epi	1	2008	7	3.9	7.94	1.79093	27.6	12.5	0.86	28	9	0.2	92.069	616	632	16.8	2.06254	6.89655	0.9	92	1.4	2	0.1	0.1	0.048	0.032	NA	4.8666667	13.7333333	2.4	2.6	0.4	0.6666667	1.1333333	0.2	0.0666667	4.1333333	0	0.2	2.9333333	1.7333333	1.3333333	0	0.6666667	0	0.3333333	7.2
run4.23	ERS1884170	16/7/14	0-6	summer strat.	epi	epi	4	2014	3	5.6	8.21	1.822633992	26.7	20	1.25	17.37	10.7217	2.89	109.859	683.14	1133.47	19.97142857	2.56491	3.224166667	1.1	102.6428571	1.5	2.04	NA	NA	0.059	0.047	9.364285714	4.4	33.2	4.5333333	3.4	0.9333333	0.1333333	0	0	0.0666667	3.6666667	0	0	6.2666667	0.6666667	3.5333333	0.3333333	4.4	0	4	20.2666667
run4.53	ERS1884203	16/8/11	0-10	summer strat.	epi	epi	4	2011	5	2.8	8.13	1.78	27.1	15	1.87	25	10	1.8	68	688	1392	19.4	11.72	10	1.6	96.95454545	3.6	5.8	0.3	1.5	NA	NA	8.953636364	6.2666667	47.7333333	7.8666667	3.8	0.7333333	2.4	0.0666667	0.4	1.2666667	3.0666667	0	0.0666667	3.6666667	0.1333333	0.0666667	0.2	1.8	0	0.9333333	7
run4.40	ERS1884189	16/9/14	0-12	summer strat.	epi	epi	4	2014	6	3.8	8.01	1.749127869	27.2	17.5	1.03	40.05	10.4819	18.47	52.826	780.46	1018.8	16.66923077	4.19913	7.233793103	0.7	88.84615385	1.8	16.6	NA	NA	0.061	0.047	8.830769231	5.8666667	32.5333333	5.5333333	4.6	0.9333333	0.4	0.1333333	0.0666667	0.1333333	4.8	0	0.0666667	5.6666667	1.0666667	1	0	3	0	2.3333333	13.4
run4.32	ERS1884180	17/6/14	0-12	summer strat.	epi	epi	4	2014	6	3.3	8.18	1.827187045	26.6	20	0.81	15.66	6.6151	4.03	41.10769231	579.57	950.28	14.89230769	1.4355	4.712413793	1	122.8769231	1.1	1.65	NA	NA	0.062	0.049	9.38	9	27.0666667	4.2666667	2.7333333	0.4	0.4666667	0	0.3333333	0.3333333	8.2666667	0	0.1333333	8.2	2.5333333	0.1333333	0	3.4666667	0.0666667	0.2	15.0666667
run4.192	ERS1884154	17/7/13	0-8	summer strat.	epi	epi	4	2013	4	4	8.13	1.740696774	26.6	22.5	0.82	17.39	8.847	0.975	65.89868966	649.487	587.712	18.17272727	5.664132	9.113103448	0.8	86.30909091	1.4	2.92	NA	NA	0.079	0.062	8.140909091	8.2	19.4	3.9333333	3.4666667	0.6	2.6666667	0.0666667	0.4	0.3333333	6.8666667	0	0	7.6666667	5.9333333	0.1333333	0	2.7333333	0	0.4666667	18.6
run4.98	ERS1884252	18/6/12	0-10	summer strat.	epi	epi	4	2012	5	4.5	8.02	1.814146415	27	15	0.81	13.2	7.9	1.42	38.90751724	589.622	431.896	15.4	1.87698	4.344827586	0.5	94.93636364	1.2	2.1	-0.03	1.45	NA	NA	9.520909091	3.6666667	11.0666667	8.5333333	2.4	0.6	0.8	0.0666667	0.6	0.0666667	1	0	0.2666667	0	0	0	0.0666667	1.6	0	40.2	42.3333333
run4.186	ERS1884147	18/6/13	0-6	summer strat.	epi	epi	4	2013	3	3.5	8.18	1.9272	26.4	22.5	0.8	16.02	8.069	1.669	50.52731034	639.661	197.52	17.12857143	2.68542	8.374965517	0.6	95.4	1.2	2.22	NA	NA	0.084	0.069	9.237142857	2.2	14.6666667	8.8666667	2.0666667	0.4666667	0.9333333	0.5333333	0.1333333	0.5333333	1.0666667	0	0.0666667	0	0	0.4	0.0666667	3.5333333	0	46.3333333	50.9333333
run4.16	ERS1884129	19/8/14	0-8	summer strat.	epi	epi	4	2014	4	3.4	8.08	1.7374	26.4	17.5	1.4	17.07	7.0537	3.52	77.41615385	622.79	965.52	20.06666667	5.66451	9.689230769	1.5	93.26666667	2.8	0.98	NA	NA	0.069	0.052	8.328888889	1.4666667	13.3333333	7.6666667	3.5333333	0.6666667	1.4666667	0.2666667	0.3333333	0.2	0.8666667	0	0.0666667	0	0	0	0.0666667	0.6	0	56.9333333	57.6666667
run4.197	ERS1884159	2/8/11	0-10	summer strat.	epi	epi	4	2011	5	4.8	8.3	1.92	27.2	15	1.15	23	0.1	2	79	611	1772	20.7	6.12	10	0.9	97.98181818	1.9	0.2	0.1	1.9	NA	NA	8.880909091	0.1333333	3.0666667	2.1333333	57.7333333	0.2	20.9333333	0.0666667	0.0666667	0	0.3333333	0	0.1333333	0	0	0	0.0666667	0.5333333	0	11.7333333	12.3333333
run4.43	ERS1884192	2/9/14	0-12	summer strat.	epi	epi	4	2014	6	3.75	7.91	1.875670588	26.2	15	1.31	37.25	27.4803	32.87	42.885	733.19	1018.8	16.72307692	3.6954	7.045517241	0.5	82.63846154	1.9	18.4	NA	NA	0.07	0.043	8.200769231	1.8666667	13.6	15.6666667	7.2666667	1.9333333	1.5333333	0.1333333	1.6666667	2.0666667	2.8666667	0	0.2	0.0666667	0	0	0	0	0	2.5333333	2.6
