number	OTUID	sum	samples	av	pcntSamples	domain	phylum	class	order	family	genus	species	label	taxonomy	taxon_metblm
15	KC253350.1.1487	288	85	3	37	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0
56	FN668213.1.1495	1054	168	6	72	B	Acidobacteria	Holophagae	Holophagales	Holophagaceae	Holophagaceae	Holophagaceae	Holophagaceae	0	0
167	HQ597083.1.1450	394	71	6	31	B	Acidobacteria	Solibacteres	Solibacterales	Bryobacteraceae	Bryobacteraceae	Bryobacteraceae	Bryobacteraceae	0	0
71	GQ340081.1.1356	321	87	4	38	B	Acidobacteria	Solibacteres	Solibacterales	Solibacteraceae	CaSolibacter	CaSolibacter	CaSolibacter	0	0
62	FN668271.1.1326	8530	230	37	99	B	Actinobacteria	Acidimicrobiia	Acidimicrobiales	ac-IV (C111)	acIV	acIV	ac-IV_1	"taxonomy unresolved, probable C111 is a family or order containing acIV"	"heterotrophic, aerobic, salt tolerant, neutro-alkalinophilic, mesophilic, non-motile, rods, G+ve, "
28	EU801876.1.1485	996	196	5	84	B	Actinobacteria	Acidimicrobiia	Acidimicrobiales	ac-IV (C111)	acIV	acIV	ac-IV_10	"taxonomy unresolved, probable C111 is a family or order containing acIV"	"heterotrophic, aerobic, salt tolerant, neutro-alkalinophilic, mesophilic, non-motile, rods, G+ve, "
51	DQ520170.1.1383	931	188	5	81	B	Actinobacteria	Acidimicrobiia	Acidimicrobiales	ac-IV (C111)	acIV	acIV	ac-IV_11	"taxonomy unresolved, probable C111 is a family or order containing acIV"	"heterotrophic, aerobic, salt tolerant, neutro-alkalinophilic, mesophilic, non-motile, rods, G+ve, "
31	HM856385.1.1431	540	137	4	59	B	Actinobacteria	Acidimicrobiia	Acidimicrobiales	ac-IV (C111)	acIV	acIV	ac-IV_12	"taxonomy unresolved, probable C111 is a family or order containing acIV"	"heterotrophic, aerobic, salt tolerant, neutro-alkalinophilic, mesophilic, non-motile, rods, G+ve, "
44	KF596564.1.1479	772	185	4	80	B	Actinobacteria	Acidimicrobiia	Acidimicrobiales	ac-IV (C111)	acIV	acIV	ac-IV_13	"taxonomy unresolved, probable C111 is a family or order containing acIV"	"heterotrophic, aerobic, salt tolerant, neutro-alkalinophilic, mesophilic, non-motile, rods, G+ve, "
104	HM856482.1.1436	402	133	3	57	B	Actinobacteria	Acidimicrobiia	Acidimicrobiales	ac-IV (C111)	acIV	acIV	ac-IV_14	"taxonomy unresolved, probable C111 is a family or order containing acIV"	"heterotrophic, aerobic, salt tolerant, neutro-alkalinophilic, mesophilic, non-motile, rods, G+ve, "
22	GU305761.1.1481	182	100	2	43	B	Actinobacteria	Acidimicrobiia	Acidimicrobiales	ac-IV (C111)	acIV	acIV	ac-IV_15	"taxonomy unresolved, probable C111 is a family or order containing acIV"	"heterotrophic, aerobic, salt tolerant, neutro-alkalinophilic, mesophilic, non-motile, rods, G+ve, "
