from	to	edge	from_name	to_name	Dcorr	Dpval	sE_corr	Pcorr	Ppval	type	av_corr	edge_corr_val
1	31	1to31	FQ658994.1.1350	AJ867754.1.1521	0.6	1.04419E-13	0.386361335	NA	NA	co	0.493180668	0.5
1	56	1to56	FQ658994.1.1350	FM204983.1.1452	0.6	1.04419E-13	0.241332581	NA	NA	co	0.420666291	0.5
1	61	1to61	FQ658994.1.1350	AY250093.1.1455	0.592592593	2.58859E-13	0.032943611	0.893158658	2.07E-08	co	0.506231621	0.5
1	65	1to65	FQ658994.1.1350	FR774626.1.1366	0.64516129	0	0.507802247	0.960681401	3.17E-13	co	0.704548313	0.5
1	90	1to90	FQ658994.1.1350	FM161354.1.1520	0.594594595	2.07549E-13	0.123109728	0.986059303	0	co	0.567921209	0.5
2	3	2to3	HM445936.1.1502	EU801039.1.1483	0.666666667	0	0.341744461	1	0	co	0.669470376	0.5
2	84	2to84	HM445936.1.1502	KF441562.1.1494	0.666666667	0	0.516706976	1	0	co	0.727791214	0.5
3	83	3to83	EU801039.1.1483	FN668268.1.1474	0.5	3.46348E-09	0.318809921	0.947472912	8.45E-12	co	0.588760944	0.5
4	13	4to13	GABT01019963.848.2718	EU800571.1.1447	0.5	3.46348E-09	0.076156181	0.934657527	9.16E-11	co	0.503604569	0.5
4	16	4to16	GABT01019963.848.2718	FN421555.1.1369	0.5	3.46348E-09	0.488414294	0.998865636	0	co	0.662426643	0.5
4	45	4to45	GABT01019963.848.2718	AEMH01007120.1017.2392	0.666666667	0	0.411352307	1	0	co	0.692672991	0.5
6	53	6to53	JX448570.1.1261	JQ941843.1.1364	0.666666667	0	0.058895434	0.933210572	1.16E-10	co	0.552924224	0.5
6	60	6to60	JX448570.1.1261	EU803460.1.1447	0.555555556	1.71727E-11	0.265255582	0.985463159	0	co	0.602091432	0.5
6	76	6to76	JX448570.1.1261	EU803376.1.1258	0.555555556	1.71727E-11	0.276653512	0.944517348	1.57E-11	co	0.592242139	0.5
