"SUID","av","AverageShortestPathLength","BetweennessCentrality","class","ClosenessCentrality","ClusteringCoefficient","Degree","domain","Eccentricity","family","genus","IsSingleNode","label","name","NeighborhoodConnectivity","number","NumberOfDirectedEdges","NumberOfUndirectedEdges","order","PartnerOfMultiEdgedNodePairs","pcntSamples","phylum","Radiality","samples","selected","SelfLoops","shared name","species","Stress","sum","taxon_metblm","taxonomy","TopologicalCoefficient"
"1487","2.0","2.85","0.00235043","Gammaproteobacteria","0.35087719","0.8","5","B","6","Moraxellaceae","Acinetobacter","false","Acinetobacter_2","HM445936.1.1502","8.4","2","5","0","Pseudomonadales","0","3.846153846","Proteobacteria","0.79444444","1","false","0","HM445936.1.1502","Acinetobacter","88","2","""non-fastidious (wide range of C substrates), non-fermative, strictly aerobic, oxidase-negative catalase +ve, gram-negative coccobacilli of widespread mostly terrestrial habitat""","Acinetobacter","0.56"
"1520","1.0","2.2","0.1244871","Actinobacteria","0.45454545","0.51282051","13","B","6","Nanopelagicaceae","Nanopelagicus","false","Nanopel_7","HM856571.1.1445","10.30769231","59","13","0","Nanopelagicales","0","11.53846154","Actinobacteria","0.86666667","3","false","0","HM856571.1.1445","acI-B1","3602","3","""aerobic chemoheterotroph, auxotrophy for various amino acids, vitamins and reduced sulphur sources""","acI-B1 (acI_14) Ca. Nanopelagicus sp.","0.3325062"
"1488","3.0","2.775","0.10096154","Actinobacteria","0.36036036","0.47619048","7","B","6","Nanopelagicaceae","Planktophila","false","P.limnetica_7","EU801039.1.1483","6.85714286","3","7","0","Nanopelagicales","0","3.846153846","Actinobacteria","0.80277778","1","false","0","EU801039.1.1483","limnetica","1150","3","photoheterotroph","acI-phila (acI_2) Ca.Planktophila limnetica","0.44761905"
"1652","1.666666667","2.575","0.01622464","Betaproteobacteria","0.38834951","0.66666667","6","B","6","Burkholderiaceae","Ralstonia","false","Ralstonia_2","EU705057.1.1276","11.33333333","10","6","0","Burkholderiales","0","11.53846154","Proteobacteria","0.825","3","false","0","EU705057.1.1276","Ralstonia","364","5","0","0","0.49275362"
"1497","1.333333333","2.225","0.11459737","Actinobacteria","0.4494382","0.54545455","12","B","6","Nanopelagicaceae","Nanopelagicus","false","Nanopel_9","JN868973.1.1510","10.75","26","12","0","Nanopelagicales","0","11.53846154","Actinobacteria","0.86388889","3","false","0","JN868973.1.1510","acI-B1","3456","4","""aerobic chemoheterotroph, auxotrophy for various amino acids, vitamins and reduced sulphur sources""","acI-B1 (acI_8) Ca. Nanopelagicus sp.","0.34677419"
"1536","1.0","2.3","0.19648651","Alphaproteobacteria","0.43478261","0.4","11","B","5","Pelagibacteraceae","basal CaFonsibacter","false","basal_CaFonsi_2","EU803252.1.1450","8.09090909","52","11","0","Rickettsiales","0","7.692307692","Proteobacteria","0.85555556","2","false","0","EU803252.1.1450","basal CaFonsibacter","4960","2","""freshwater, photoheterotroph, fastidious, green light rhodopsins""","basal IIIb-LD12 unknown (LD12_11)","0.33712121"
"1537","2.0","2.3","0.19648651","Betaproteobacteria","0.43478261","0.4","11","B","5","Burkholderiaceae","Ralstonia","false","Ralstonia_1","GU574353.1.1321","8.09090909","77","11","0","Burkholderiales","0","7.692307692","Proteobacteria","0.85555556","2","false","0","GU574353.1.1321","Ralstonia","4960","4","0","0","0.33712121"
"1540","2.0","2.85","0.00235043","Flavobacteriia","0.35087719","0.8","5","B","6","Flavobacteriaceae","Flavobacterium","false","Flavobacterium_18","KF441562.1.1494","8.4","84","5","0","Flavobacteriales","0","3.846153846","Bacteroidetes","0.79444444","1","false","0","KF441562.1.1494","Flavobacterium","88","2","""mostly aquatic some fish pathogens, psychrotolerant, prefer low salinity, non-cellulolytic, most can degrade complex polysaccharides eg xylan, chitin, alginate""","The Genus Flavobacterium","0.56"
"1541","4.0","2.9","0.08205128","Chloroplast","0.34482759","0.8","5","B","5","Haptophyceae","Haptophyceae","false","Haptophyceae","JX015603.1.1441","7.2","78","5","0","Haptophyceae","0","3.846153846","Cyanobacteria-chloroplast","0.78888889","1","false","0","JX015603.1.1441","Haptophyceae","2592","4","""macro-algal eukaryote, C fixing phytoplankton, chl-a, chl-c, contain cellulose""","0","0.55384615"
"1542","2.0","2.9","0.08205128","Betaproteobacteria","0.34482759","0.8","5","B","5","Comamonadaceae","Comamonadaceae","false","Comamonadaceae_22","AB806518.1.1446","7.2","85","5","0","Burkholderiales","0","3.846153846","Proteobacteria","0.78888889","1","false","0","AB806518.1.1446","Comamonadaceae","2592","2","0","0","0.55384615"
"1513","6.0","2.15","0.2170203","Actinobacteria","0.46511628","0.38095238","15","B","6","Nanopelagicaceae","Nanopelagicus","false","N.limnes_3","FN668262.1.1467","8.93333333","49","15","0","Nanopelagicales","0","15.38461538","Actinobacteria","0.87222222","4","false","0","FN668262.1.1467","limnes","3796","24","""aerobic chemoheterotroph, auxotrophy for various amino acids, vitamins and reduced sulphur sources""","acI-B1 (acI_13) Ca. Nanopelagicus sp.","0.28817204"
"1547","19.0","2.9","0.08205128","Betaproteobacteria","0.34482759","0.8","5","B","5","Comamonadaceae","Acidovorax","false","Acidovorax_delafieldii","AB021390.1.1508","7.2","89","5","0","Burkholderiales","0","3.846153846","Proteobacteria","0.78888889","1","false","0","AB021390.1.1508","delafieldii","2592","19","0","0","0.55384615"
