SUID,phylum,class,order,family,genus,species,label,name,av,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Degree,degree.layout,domain,Eccentricity,IsSingleNode,NeighborhoodConnectivity,number,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,pcntSamples,Radiality,samples,selected,SelfLoops,shared name,Stress,sum,taxon_metblm,taxonomy,TopologicalCoefficient
396,Actinobacteria,Acidimicrobiia,Acidimicrobiales,ac-IV (C111),acIV,acIV,ac-IV_3,HM856480.1.1443,19,2.97156398,0.04255133,0.33652313,0.18954248,18,17,B,6,FALSE,10.61111111,162,18,0,0,99,0.78093734,229,FALSE,0,HM856480.1.1443,10260,4444,"""heterotrophic, aerobic, salt tolerant, neutro-alkalinophilic, mesophilic, non-motile, rods, G+ve, ""","""taxonomy unresolved, probable C111 is a family or order containing acIV""",0.14459665
412,Actinobacteria,Acidimicrobiia,Acidimicrobiales,ac-IV (C111),acIV,acIV,ac-IV_5,EU800831.1.1486,15,2.94312796,0.04934871,0.33977456,0.19117647,17,12,B,5,FALSE,10.11764706,47,17,0,0,88,0.78409689,204,FALSE,0,EU800831.1.1486,10156,3012,"""heterotrophic, aerobic, salt tolerant, neutro-alkalinophilic, mesophilic, non-motile, rods, G+ve, ""","""taxonomy unresolved, probable C111 is a family or order containing acIV""",0.15384615
379,Actinobacteria,Actinobacteria,Nanopelagicales,Nanopelagicaceae,acI_C,acI_C,acI_C,GU305712.1.1497,19,3.25592417,0.01928341,0.30713246,0.17857143,8,8,B,6,FALSE,10.75,19,8,0,0,83,0.74934176,193,FALSE,0,GU305712.1.1497,3804,3651,photoheterotroph,acI-C,0.20343137
399,Actinobacteria,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Nanopelagicus,limnes,N.limnes_1,FN668259.1.1474,166,2.78672986,0.11904613,0.35884354,0.14761905,21,21,B,6,FALSE,9.23809524,40,21,0,0,100,0.80147446,231,FALSE,0,FN668259.1.1474,20154,38433,"""aerobic chemoheterotroph, auxotrophy for various amino acids, vitamins and reduced sulphur sources""",acI-B1  (acI_9) Ca. Nanopelagicus sp.,0.10917538
620,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola,Fluviicola,Fluviicola_6,AB753899.1.1448,4,3.76303318,0.0125596,0.26574307,0.13333333,6,1,B,7,FALSE,5.16666667,83,6,0,0,41,0.69299631,95,FALSE,0,AB753899.1.1448,1828,371,0,0,0.23333333
404,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,Sediminibacterium,Sediminibacterium,Sediminibacterium_1,HM128951.1.1451,18,3.23696682,0.04430272,0.30893119,0.11111111,9,5,B,6,FALSE,7.88888889,43,9,0,0,97,0.75144813,224,FALSE,0,HM128951.1.1451,7080,4031,"""Gram-stain-negative thin rods that do not form endospores, gliding motility. Aerobic or facultatively anaerobic. Limited fermentative capabilities are observed in some members""",genus Sediminibacterium,0.17886179
407,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,Sediminibacterium,Sediminibacterium,Sediminibacterium_2,AF361195.1.1502,18,3.08056872,0.02801938,0.32461538,0.17948718,13,12,B,6,FALSE,9.76923077,204,13,0,0,81,0.7688257,188,FALSE,0,AF361195.1.1502,5706,3355,"""Gram-stain-negative thin rods that do not form endospores, usually nonmotile. Swarming motility may occur. Aerobic or facultatively anaerobic. Limited fermentative capabilities are observed in some members""",genus Sediminibacterium,0.17482517
391,Cyanobacteria,Synechococcophycideae,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus,Synechococcus_1,GQ130152.1.1440,18,3.07582938,0.03549616,0.32511556,0.25,9,7,B,6,FALSE,10.66666667,228,9,0,0,58,0.76935229,135,FALSE,0,GQ130152.1.1440,6250,2407,0,0,0.18323587
381,Cyanobacteria-chloroplast,Chloroplast,Stramenopiles,Stramenopiles,Stramenopiles,Stramenopiles,Stramenopiles_1,AB661539.1.1411,168,3.23222749,0.01922193,0.30938416,0.14285714,8,4,B,7,FALSE,8.625,24,8,0,0,78,0.75197472,180,FALSE,0,AB661539.1.1411,3528,30312,"""macro-algal eukaryote, phytoplankton, chl-c""",0,0.171875
453,Proteobacteria,Alphaproteobacteria,Rickettsiales,Pelagibacteraceae,CaFonsibacter,CaFonsibacter,CaFonsi_10,EU803732.1.1421,4,3.54028436,3.35E-04,0.28246319,0.73333333,6,6,B,7,FALSE,11.33333333,207,6,0,0,62,0.71774618,144,FALSE,0,EU803732.1.1421,148,603,"""freshwater, photoheterotroph, fastidious, green light rhodopsins""",IIIb-LD12-A (LD12_9),0.37777778
621,Proteobacteria,Alphaproteobacteria,Rickettsiales,Pelagibacteraceae,CaFonsibacter,CaFonsibacter,CaFonsi_11,JQ941843.1.1364,2,4.37914692,0.00947867,0.22835498,0,2,2,B,7,FALSE,4,106,2,0,0,44,0.62453923,102,FALSE,0,JQ941843.1.1364,1338,194,"""freshwater, photoheterotroph, fastidious, green light rhodopsins""",IIIb-LD12-A (LD12_3),0.5
442,Proteobacteria,Alphaproteobacteria,Rickettsiales,Pelagibacteraceae,CaFonsibacter,CaFonsibacter,CaFonsi_3,EU803786.1.1256,4,3.67772512,9.36E-05,0.27190722,0.8,5,5,B,6,FALSE,11.2,212,5,0,0,64,0.70247499,148,FALSE,0,EU803786.1.1256,38,526,"""freshwater, photoheterotroph, fastidious, green light rhodopsins""",IIIb-LD12 unknown (LD12_10),0.48695652
440,Proteobacteria,Alphaproteobacteria,Rickettsiales,Pelagibacteraceae,CaFonsibacter,CaFonsibacter,CaFonsi_4,GU305856.1.1443,16,3.16587678,0.01064627,0.31586826,0.34615385,13,13,B,6,FALSE,10.15384615,189,13,0,0,76,0.75934702,177,FALSE,0,GU305856.1.1443,2884,2803,"""freshwater, photoheterotroph, fastidious, green light rhodopsins""",IIIb-LD12-A (LD12_7),0.20307692
371,Proteobacteria,Alphaproteobacteria,Rickettsiales,Pelagibacteraceae,CaFonsibacter,CaFonsibacter,CaFonsi_5,EU803460.1.1447,13,2.97156398,0.04630361,0.33652313,0.26373626,14,13,B,6,FALSE,9.71428571,121,14,0,0,74,0.78093734,171,FALSE,0,EU803460.1.1447,8536,2145,"""freshwater, photoheterotroph, fastidious, green light rhodopsins""",IIIb-LD12-A (LD12_5),0.15690867
439,Proteobacteria,Alphaproteobacteria,Rickettsiales,Pelagibacteraceae,CaFonsibacter,CaFonsibacter,CaFonsi_6,EU800360.1.1446,7,3.25118483,0.00768091,0.30758017,0.35714286,8,8,B,6,FALSE,11.875,113,8,0,0,79,0.74986835,184,FALSE,0,EU800360.1.1446,1782,1328,"""freshwater, photoheterotroph, fastidious, green light rhodopsins""",IIIb-LD12-A (LD12_4),0.22836538
452,Proteobacteria,Alphaproteobacteria,Rickettsiales,Pelagibacteraceae,CaFonsibacter,CaFonsibacter,CaFonsi_7,EU803376.1.1258,6,3.18009479,0.01430769,0.31445604,0.37777778,10,10,B,6,FALSE,10.8,171,10,0,0,63,0.75776725,146,FALSE,0,EU803376.1.1258,2950,818,"""freshwater, photoheterotroph, fastidious, green light rhodopsins""",IIIb-LD12-A (LD12_6),0.20377358
642,Proteobacteria,Alphaproteobacteria,Rickettsiales,Pelagibacteraceae,CaFonsibacter,CaFonsibacter,CaFonsi_8,EU800571.1.1447,2,5.37440758,0,0.18606702,0,1,1,B,8,FALSE,2,23,1,0,0,48,0.51395471,112,FALSE,0,EU800571.1.1447,0,247,"""freshwater, photoheterotroph, fastidious, green light rhodopsins""",IIIb-LD12-A (LD12_2),0
